condition,kind,exposure_arm,mechanism,role,replicate,plate,row,column,well,animal_id,litter_id,bone_id,bone_position,is_edge_well
fostamatinib,compound,continuous,kinase,discovery compound,3,5,F,4,F04,L5A3,L5,L5A3-MT2-L,MT2-L,False
benzethonium,compound,continuous,ion channel,discovery compound,5,5,F,5,F05,L2A8,L2,L2A8-MT4-L,MT4-L,False
acefylline,compound,continuous,GPCR,discovery compound,4,5,F,6,F06,L5A1,L5,L5A1-MT3-L,MT3-L,False
EW-7197,compound,continuous,growth factor / cytokine,discovery compound,3,5,F,7,F07,L10A2,L10,L10A2-MT3-R,MT3-R,False
albuterol,compound,continuous,GPCR,discovery compound,5,5,F,8,F08,L6A8,L6,L6A8-MT4-L,MT4-L,False
neuropathiazol,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,1,5,F,9,F09,L14A7,L14,L14A7-MT2-R,MT2-R,False
benzbromarone,compound,continuous,ion channel,discovery compound,3,5,F,10,F10,L10A4,L10,L10A4-MT3-L,MT3-L,False
fumagillin,compound,continuous,protease,discovery compound,3,5,F,11,F11,L13A3,L13,L13A3-MT2-R,MT2-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,G,1,G01,,,,,True
ATN-161,compound,continuous,mechanotransduction,discovery compound,5,5,G,2,G02,L8A1,L8,L8A1-MT4-L,MT4-L,False
vehicle,VEHICLE,continuous,control,VEHICLE,3,5,G,3,G03,L6A4,L6,L6A4-MT4-R,MT4-R,False
antiproliferative control,CYTOTOXIC CONTROL,continuous,control,CYTOTOXIC CONTROL,6,5,G,4,G04,L13A5,L13,L13A5-MT3-R,MT3-R,False
abametapir,compound,continuous,protease,discovery compound,2,5,G,5,G05,L5A1,L5,L5A1-MT4-L,MT4-L,False
cerulenin,compound,continuous,metabolic,discovery compound,4,5,G,6,G06,L9A6,L9,L9A6-MT3-L,MT3-L,False
DY131,compound,continuous,GPCR,ASSAY CONTROL ONLY - canonical pathway,1,5,G,7,G07,L5A7,L5,L5A7-MT3-L,MT3-L,False
VLX600,compound,continuous,ubiquitin system,discovery compound,6,5,G,8,G08,L1A8,L1,L1A8-MT4-R,MT4-R,False
spautin-1,compound,continuous,ubiquitin system,discovery compound,3,5,G,9,G09,L2A3,L2,L2A3-MT2-L,MT2-L,False
IGF1,PRODUCTIVE BENCHMARK,continuous,control,PRODUCTIVE BENCHMARK,6,5,G,10,G10,L1A5,L1,L1A5-MT4-L,MT4-L,False
efinaconazole,compound,continuous,epigenetic (selective probe),discovery compound,5,5,G,11,G11,L10A1,L10,L10A1-MT2-L,MT2-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,5,H,12,H12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,B,1,B01,,,,,True
aceclofenac,compound,continuous,GPCR,discovery compound,5,6,B,2,B02,L13A1,L13,L13A1-MT2-L,MT2-L,False
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,control,ASSAY-SENSITIVITY CONTROL,6,6,B,3,B03,L3A4,L3,L3A4-MT4-L,MT4-L,False
acetyl-farnesyl-cysteine,compound,continuous,epigenetic (selective probe),discovery compound,1,6,B,4,B04,L2A3,L2,L2A3-MT3-R,MT3-R,False
ATN-161,compound,continuous,mechanotransduction,discovery compound,1,6,B,5,B05,L9A8,L9,L9A8-MT2-L,MT2-L,False
chlorogenic-acid,compound,continuous,transporter,discovery compound,6,6,B,6,B06,L12A7,L12,L12A7-MT3-L,MT3-L,False
ATN-161,compound,continuous,mechanotransduction,discovery compound,4,6,B,7,B07,L12A2,L12,L12A2-MT4-L,MT4-L,False
metolazone,compound,continuous,transporter,discovery compound,2,6,B,8,B08,L10A4,L10,L10A4-MT4-R,MT4-R,False
chlorproguanil,compound,continuous,metabolic,discovery compound,1,6,B,9,B09,L11A3,L11,L11A3-MT4-R,MT4-R,False
IU1,compound,continuous,ubiquitin system,discovery compound,3,6,B,10,B10,L12A5,L12,L12A5-MT2-R,MT2-R,False
albuterol,compound,continuous,GPCR,discovery compound,1,6,B,11,B11,L1A2,L1,L1A2-MT2-R,MT2-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,C,1,C01,,,,,True
STA-5326,compound,continuous,growth factor / cytokine,discovery compound,3,6,C,2,C02,L11A8,L11,L11A8-MT3-R,MT3-R,False
spautin-1,compound,continuous,ubiquitin system,discovery compound,5,6,C,3,C03,L1A6,L1,L1A6-MT4-R,MT4-R,False
AS-1949490,compound,continuous,phosphatase,discovery compound,6,6,C,4,C04,L2A4,L2,L2A4-MT3-R,MT3-R,False
SMER-28,compound,continuous,lysosomal / autophagy,discovery compound,2,6,C,5,C05,L6A3,L6,L6A3-MT4-L,MT4-L,False
IGF1,PRODUCTIVE BENCHMARK,continuous,control,PRODUCTIVE BENCHMARK,3,6,C,6,C06,L2A5,L2,L2A5-MT2-L,MT2-L,False
washout-only,WASHOUT CONTROL,washout + recovery,control,WASHOUT CONTROL,4,6,C,7,C07,L13A3,L13,L13A3-MT2-L,MT2-L,False
allopurinol,compound,continuous,metabolic,discovery compound,4,6,C,8,C08,L8A1,L8,L8A1-MT4-R,MT4-R,False
butenafine,compound,continuous,metabolic,discovery compound,1,6,C,9,C09,L7A1,L7,L7A1-MT3-R,MT3-R,False
lesinurad,compound,continuous,transporter,discovery compound,1,6,C,10,C10,L2A4,L2,L2A4-MT3-L,MT3-L,False
lesinurad,compound,continuous,transporter,discovery compound,4,6,C,11,C11,L14A5,L14,L14A5-MT2-R,MT2-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,D,1,D01,,,,,True
butylphthalide,compound,continuous,ion channel,discovery compound,3,6,D,2,D02,L7A8,L7,L7A8-MT4-L,MT4-L,False
encorafenib,compound,continuous,kinase,discovery compound,5,6,D,3,D03,L2A6,L2,L2A6-MT3-L,MT3-L,False
cilengitide,compound,continuous,mechanotransduction,discovery compound,6,6,D,4,D04,L4A7,L4,L4A7-MT3-L,MT3-L,False
FK-409,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,1,6,D,5,D05,L11A4,L11,L11A4-MT3-R,MT3-R,False
acrivastine,compound,continuous,GPCR,discovery compound,1,6,D,6,D06,L5A5,L5,L5A5-MT3-R,MT3-R,False
entacapone,compound,continuous,epigenetic (selective probe),discovery compound,6,6,D,7,D07,L3A1,L3,L3A1-MT4-R,MT4-R,False
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,control,TRADE-OFF BENCHMARK,1,6,D,8,D08,L5A4,L5,L5A4-MT3-R,MT3-R,False
pralmorelin,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,5,6,D,9,D09,L3A6,L3,L3A6-MT2-R,MT2-R,False
butylphthalide,compound,continuous,ion channel,discovery compound,5,6,D,10,D10,L7A1,L7,L7A1-MT2-R,MT2-R,False
halofuginone,compound,continuous,matrix remodeling,discovery compound,5,6,D,11,D11,L12A8,L12,L12A8-MT2-R,MT2-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,E,1,E01,,,,,True
cinacalcet,compound,continuous,ion channel,discovery compound,3,6,E,2,E02,L3A4,L3,L3A4-MT3-L,MT3-L,False
AS-1949490,compound,continuous,phosphatase,discovery compound,1,6,E,3,E03,L4A4,L4,L4A4-MT3-R,MT3-R,False
trofinetide,compound,continuous,growth factor / cytokine,discovery compound,1,6,E,4,E04,L14A8,L14,L14A8-MT4-L,MT4-L,False
sodium-stibogluconate,compound,continuous,phosphatase,discovery compound,3,6,E,5,E05,L2A2,L2,L2A2-MT3-R,MT3-R,False
hypoestoxide,compound,continuous,growth factor / cytokine,discovery compound,1,6,E,6,E06,L14A2,L14,L14A2-MT2-R,MT2-R,False
latrunculin-B,compound,continuous,mechanotransduction,discovery compound,6,6,E,7,E07,L10A3,L10,L10A3-MT3-L,MT3-L,False
lorlatinib,compound,continuous,kinase,discovery compound,3,6,E,8,E08,L10A8,L10,L10A8-MT2-L,MT2-L,False
SMER-28,compound,continuous,lysosomal / autophagy,discovery compound,1,6,E,9,E09,L3A1,L3,L3A1-MT3-L,MT3-L,False
benzbromarone,compound,continuous,ion channel,discovery compound,2,6,E,10,E10,L1A6,L1,L1A6-MT4-L,MT4-L,False
IU1,compound,continuous,ubiquitin system,discovery compound,2,6,E,11,E11,L1A3,L1,L1A3-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,F,1,F01,,,,,True
escitalopram,compound,continuous,transporter,discovery compound,1,6,F,2,F02,L11A7,L11,L11A7-MT4-L,MT4-L,False
butenafine,compound,continuous,metabolic,discovery compound,2,6,F,3,F03,L7A4,L7,L7A4-MT4-L,MT4-L,False
F351,compound,continuous,growth factor / cytokine,discovery compound,1,6,F,4,F04,L2A3,L2,L2A3-MT3-L,MT3-L,False
aloxistatin,compound,continuous,protease,discovery compound,3,6,F,5,F05,L8A2,L8,L8A2-MT4-R,MT4-R,False
benserazide,compound,continuous,metabolic,discovery compound,1,6,F,6,F06,L8A5,L8,L8A5-MT4-R,MT4-R,False
retinol,compound,continuous,mechanotransduction,discovery compound,5,6,F,7,F07,L3A7,L3,L3A7-MT3-L,MT3-L,False
acrivastine,compound,continuous,GPCR,discovery compound,6,6,F,8,F08,L10A2,L10,L10A2-MT4-L,MT4-L,False
acebutolol,compound,continuous,GPCR,discovery compound,4,6,F,9,F09,L2A5,L2,L2A5-MT2-R,MT2-R,False
bis(maltolato)oxovanadium(IV),compound,continuous,phosphatase,discovery compound,4,6,F,10,F10,L12A6,L12,L12A6-MT3-L,MT3-L,False
CPI-0610,compound,continuous,epigenetic (selective probe),discovery compound,3,6,F,11,F11,L9A3,L9,L9A3-MT2-R,MT2-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,G,1,G01,,,,,True
EW-7197,compound,continuous,growth factor / cytokine,discovery compound,2,6,G,2,G02,L1A4,L1,L1A4-MT4-L,MT4-L,False
pevonedistat,compound,continuous,ubiquitin system,discovery compound,3,6,G,3,G03,L10A2,L10,L10A2-MT3-L,MT3-L,False
neuropathiazol,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,5,6,G,4,G04,L10A7,L10,L10A7-MT2-R,MT2-R,False
ambroxol,compound,continuous,ion channel,discovery compound,2,6,G,5,G05,L13A5,L13,L13A5-MT3-L,MT3-L,False
beta-hydroxy-beta-methylbutyrate,compound,continuous,kinase,discovery compound,2,6,G,6,G06,L11A7,L11,L11A7-MT2-L,MT2-L,False
alogliptin,compound,continuous,protease,discovery compound,2,6,G,7,G07,L6A3,L6,L6A3-MT2-R,MT2-R,False
glasdegib,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,4,6,G,8,G08,L4A6,L4,L4A6-MT4-L,MT4-L,False
alogliptin,compound,continuous,protease,discovery compound,4,6,G,9,G09,L9A8,L9,L9A8-MT4-R,MT4-R,False
latrunculin-B,compound,continuous,mechanotransduction,discovery compound,2,6,G,10,G10,L3A7,L3,L3A7-MT4-L,MT4-L,False
aminopentamide,compound,continuous,GPCR,discovery compound,3,6,G,11,G11,L12A1,L12,L12A1-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,6,H,12,H12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,1,A01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,2,A02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,3,A03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,4,A04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,5,A05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,6,A06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,7,A07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,8,A08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,9,A09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,10,A10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,11,A11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,A,12,A12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,B,1,B01,,,,,True
bempedoic-acid,compound,continuous,metabolic,discovery compound,3,7,B,2,B02,L4A3,L4,L4A3-MT2-L,MT2-L,False
vehicle,VEHICLE,continuous,control,VEHICLE,4,7,B,3,B03,L8A7,L8,L8A7-MT3-L,MT3-L,False
neuropathiazol,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,2,7,B,4,B04,L9A6,L9,L9A6-MT4-R,MT4-R,False
dilazep,compound,continuous,transporter,discovery compound,1,7,B,5,B05,L11A8,L11,L11A8-MT4-L,MT4-L,False
GW-3965,compound,continuous,nuclear receptor,discovery compound,4,7,B,6,B06,L3A5,L3,L3A5-MT3-L,MT3-L,False
DY131,compound,continuous,GPCR,ASSAY CONTROL ONLY - canonical pathway,2,7,B,7,B07,L7A7,L7,L7A7-MT4-L,MT4-L,False
odanacatib,compound,continuous,protease,discovery compound,1,7,B,8,B08,L11A7,L11,L11A7-MT4-R,MT4-R,False
odanacatib,compound,continuous,protease,discovery compound,2,7,B,9,B09,L11A1,L11,L11A1-MT2-R,MT2-R,False
dilazep,compound,continuous,transporter,discovery compound,3,7,B,10,B10,L6A3,L6,L6A3-MT2-L,MT2-L,False
cobimetinib,compound,continuous,kinase,discovery compound,2,7,B,11,B11,L13A5,L13,L13A5-MT4-R,MT4-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,B,12,B12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,C,1,C01,,,,,True
aceclofenac,compound,continuous,GPCR,discovery compound,4,7,C,2,C02,L12A3,L12,L12A3-MT4-R,MT4-R,False
chlorogenic-acid,compound,continuous,transporter,discovery compound,3,7,C,3,C03,L1A8,L1,L1A8-MT2-L,MT2-L,False
omecamtiv-mecarbil,compound,continuous,mechanotransduction,discovery compound,6,7,C,4,C04,L13A1,L13,L13A1-MT2-R,MT2-R,False
acebutolol,compound,continuous,GPCR,discovery compound,6,7,C,5,C05,L8A4,L8,L8A4-MT3-L,MT3-L,False
acefylline,compound,continuous,GPCR,discovery compound,6,7,C,6,C06,L4A5,L4,L4A5-MT4-L,MT4-L,False
phenylbutyrate,compound,continuous,epigenetic (selective probe),discovery compound,2,7,C,7,C07,L2A8,L2,L2A8-MT2-L,MT2-L,False
washout-only,WASHOUT CONTROL,washout + recovery,control,WASHOUT CONTROL,6,7,C,8,C08,L9A4,L9,L9A4-MT2-L,MT2-L,False
trapidil,compound,continuous,kinase,discovery compound,3,7,C,9,C09,L1A8,L1,L1A8-MT3-L,MT3-L,False
acebutolol,compound,continuous,GPCR,discovery compound,2,7,C,10,C10,L1A5,L1,L1A5-MT2-L,MT2-L,False
itacitinib,compound,continuous,kinase,discovery compound,3,7,C,11,C11,L10A6,L10,L10A6-MT2-L,MT2-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,C,12,C12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,D,1,D01,,,,,True
acebutolol,compound,continuous,GPCR,discovery compound,1,7,D,2,D02,L2A8,L2,L2A8-MT4-R,MT4-R,False
bafilomycin A1,TRADE-OFF BENCHMARK,continuous,control,TRADE-OFF BENCHMARK,4,7,D,3,D03,L8A8,L8,L8A8-MT4-R,MT4-R,False
adrenalone,compound,continuous,GPCR,discovery compound,3,7,D,4,D04,L12A5,L12,L12A5-MT3-L,MT3-L,False
CNP / FGFR3-pathway stimulus,ASSAY-SENSITIVITY CONTROL,continuous,control,ASSAY-SENSITIVITY CONTROL,4,7,D,5,D05,L14A5,L14,L14A5-MT3-R,MT3-R,False
phenylbutyrate,compound,continuous,epigenetic (selective probe),discovery compound,4,7,D,6,D06,L11A3,L11,L11A3-MT2-R,MT2-R,False
pirfenidone,compound,continuous,growth factor / cytokine,discovery compound,6,7,D,7,D07,L9A1,L9,L9A1-MT3-R,MT3-R,False
odanacatib,compound,continuous,protease,discovery compound,3,7,D,8,D08,L2A1,L2,L2A1-MT2-R,MT2-R,False
cinacalcet,compound,continuous,ion channel,discovery compound,5,7,D,9,D09,L3A8,L3,L3A8-MT4-R,MT4-R,False
benserazide,compound,continuous,metabolic,discovery compound,2,7,D,10,D10,L11A5,L11,L11A5-MT4-L,MT4-L,False
carglumic-acid,compound,continuous,metabolic,discovery compound,5,7,D,11,D11,L5A3,L5,L5A3-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,D,12,D12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,E,1,E01,,,,,True
encorafenib,compound,continuous,kinase,discovery compound,4,7,E,2,E02,L2A2,L2,L2A2-MT4-R,MT4-R,False
alexidine,compound,continuous,phosphatase,discovery compound,3,7,E,3,E03,L6A2,L6,L6A2-MT4-R,MT4-R,False
lorlatinib,compound,continuous,kinase,discovery compound,6,7,E,4,E04,L13A4,L13,L13A4-MT3-L,MT3-L,False
alexidine,compound,continuous,phosphatase,discovery compound,1,7,E,5,E05,L4A3,L4,L4A3-MT3-R,MT3-R,False
camostat-mesilate,compound,continuous,protease,discovery compound,2,7,E,6,E06,L1A2,L1,L1A2-MT2-L,MT2-L,False
SP-141,compound,continuous,ubiquitin system,discovery compound,1,7,E,7,E07,L9A7,L9,L9A7-MT3-R,MT3-R,False
BMS-587101,compound,continuous,mechanotransduction,discovery compound,4,7,E,8,E08,L4A7,L4,L4A7-MT4-R,MT4-R,False
lenalidomide,compound,continuous,growth factor / cytokine,discovery compound,4,7,E,9,E09,L12A8,L12,L12A8-MT3-L,MT3-L,False
dilazep,compound,continuous,transporter,discovery compound,4,7,E,10,E10,L8A1,L8,L8A1-MT3-R,MT3-R,False
tazemetostat,compound,continuous,epigenetic (selective probe),discovery compound,6,7,E,11,E11,L7A1,L7,L7A1-MT3-L,MT3-L,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,E,12,E12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,F,1,F01,,,,,True
acipimox,compound,continuous,metabolic,discovery compound,3,7,F,2,F02,L7A2,L7,L7A2-MT2-R,MT2-R,False
sodium-stibogluconate,compound,continuous,phosphatase,discovery compound,2,7,F,3,F03,L1A8,L1,L1A8-MT2-R,MT2-R,False
neuropathiazol,compound,continuous,other / unclassified,ASSAY CONTROL ONLY - canonical pathway,3,7,F,4,F04,L2A7,L2,L2A7-MT2-R,MT2-R,False
aminopentamide,compound,continuous,GPCR,discovery compound,6,7,F,5,F05,L5A6,L5,L5A6-MT3-L,MT3-L,False
butenafine,compound,continuous,metabolic,discovery compound,3,7,F,6,F06,L7A3,L7,L7A3-MT2-L,MT2-L,False
NAB-2,compound,continuous,ubiquitin system,discovery compound,4,7,F,7,F07,L9A2,L9,L9A2-MT3-R,MT3-R,False
menadione,compound,continuous,phosphatase,discovery compound,4,7,F,8,F08,L14A6,L14,L14A6-MT3-R,MT3-R,False
encorafenib,compound,continuous,kinase,discovery compound,1,7,F,9,F09,L7A8,L7,L7A8-MT2-L,MT2-L,False
VLX600,compound,continuous,ubiquitin system,discovery compound,1,7,F,10,F10,L4A6,L4,L4A6-MT3-L,MT3-L,False
cilengitide,compound,continuous,mechanotransduction,discovery compound,3,7,F,11,F11,L6A8,L6,L6A8-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,F,12,F12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,G,1,G01,,,,,True
maprotiline,compound,continuous,transporter,discovery compound,4,7,G,2,G02,L9A5,L9,L9A5-MT2-L,MT2-L,False
ertugliflozin,compound,continuous,transporter,discovery compound,2,7,G,3,G03,L10A3,L10,L10A3-MT3-R,MT3-R,False
T-0901317,compound,continuous,nuclear receptor,discovery compound,2,7,G,4,G04,L10A7,L10,L10A7-MT4-R,MT4-R,False
dilazep,compound,continuous,transporter,discovery compound,6,7,G,5,G05,L11A7,L11,L11A7-MT2-R,MT2-R,False
adrenalone,compound,continuous,GPCR,discovery compound,5,7,G,6,G06,L13A8,L13,L13A8-MT3-L,MT3-L,False
bempedoic-acid,compound,continuous,metabolic,discovery compound,2,7,G,7,G07,L4A6,L4,L4A6-MT2-R,MT2-R,False
trapidil,compound,continuous,kinase,discovery compound,4,7,G,8,G08,L1A1,L1,L1A1-MT3-L,MT3-L,False
mycophenolate-mofetil,compound,continuous,phosphatase,discovery compound,6,7,G,9,G09,L5A5,L5,L5A5-MT2-L,MT2-L,False
entacapone,compound,continuous,epigenetic (selective probe),discovery compound,1,7,G,10,G10,L1A6,L1,L1A6-MT3-R,MT3-R,False
acipimox,compound,continuous,metabolic,discovery compound,2,7,G,11,G11,L9A6,L9,L9A6-MT3-R,MT3-R,False
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,G,12,G12,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,1,H01,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,2,H02,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,3,H03,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,4,H04,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,5,H05,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,6,H06,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,7,H07,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,8,H08,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,9,H09,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,10,H10,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,11,H11,,,,,True
vehicle (edge position control),VEHICLE,continuous,control,PLATE-POSITION CONTROL,1,7,H,12,H12,,,,,True
