pmcid,pmid,doi,title,year,journal,cited_by,found_by,query_kinds,is_anchor,relevance
PMC11740713,39817348,10.1080/19336918.2025.2450311,Influences of physical stimulations on the migration and differentiation of Schwann cells involved in peripheral nerve repair.,2025,Cell adhesion & migration,3,"""CDC42""; ""RAC1""; ""centrosome""; ""cofilin""",target x growth x geometry,False,0.005
PMC10528602,37759515,10.3390/cells12182293,Decellularization of Dense Regular Connective Tissue-Cellular and Molecular Modification with Applications in Regenerative Medicine.,2023,Cells,3,"""latrunculin""",compound x growth plate,False,0.005
PMC12374810,40860192,10.7150/ijbs.113585,The function of GPCRs in different bone cells.,2025,International journal of biological sciences,3,"""FAK""; ""RAC1""; ""primary cilia""",target x growth x geometry,False,0.005
PMC9864425,36674738,10.3390/ijms24021222,Predicting Modifiers of Genotype-Phenotype Correlations in Craniofacial Development.,2023,International journal of molecular sciences,3,"""nocodazole""",compound x growth plate,False,0.005
PMC12265369,40670976,10.1186/s12902-025-01997-y,Stem cell-derived pancreatic beta cells: a step closer to functional diabetes treatment?,2025,BMC endocrine disorders,3,"""latrunculin""",compound x growth plate,False,0.005
PMC11906413,40092377,10.3389/fbioe.2025.1518905,Decellularization techniques: unveiling the blueprint for tracheal tissue engineering.,2025,Frontiers in bioengineering and biotechnology,3,"""latrunculin""",compound x growth plate,False,0.005
PMC12533185,41102140,10.1038/s41467-025-64212-5,Virus-inspired lipopeptide-derived nucleic acid delivery to cartilage for osteoarthritis therapy.,2025,Nature communications,3,"""amiloride""",compound x growth plate,False,0.005
PMC12383948,40868146,10.3390/biomedicines13081891,The Cannabinoid Pharmacology of Bone Healing: Developments in Fusion Medicine.,2025,Biomedicines,3,"""TRPV4""",target x growth x geometry,False,0.005
PMC11354934,39201755,10.3390/ijms25169068,Pyroptosis in Skeleton Diseases: A Potential Therapeutic Target Based on Inflammatory Cell Death.,2024,International journal of molecular sciences,3,"""amiloride""",compound x growth plate,False,0.005
PMC12387175,40868886,10.3390/life15081238,Breaking Down Osteoarthritis: Exploring Inflammatory and Mechanical Signaling Pathways.,2025,"Life (Basel, Switzerland)",3,"""FAK""; ""planar cell polarity""",target x growth x geometry,False,0.005
PMC7748351,33371120,10.1097/md.0000000000023713,Pulmonary edema following shoulder arthroscopy under general anesthesia with nerve block: An observational study.,2020,Medicine,3,"""furosemide""",compound x growth plate,False,0.005
PMC12713081,40999893,10.1002/advs.202513314,Mechanical Stress Triggers Premature Senescence in Cardiac Fibroblasts.,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",3,"""microtubule""",target x growth x geometry,False,0.005
PMC12173940,40514430,10.1038/s41556-025-01678-x,Cell state-specific cytoplasmic density controls spindle architecture and scaling.,2025,Nature cell biology,3,"""centrosome""; ""microtubule""",target x growth x geometry,False,0.005
PMC12462494,40998791,10.1038/s41467-025-63551-7,Macrophage-derived amphiregulin induces myofibroblast transition in adipogenic lineage precursors near Staphylococcus aureus abscess in bone marrow.,2025,Nature communications,3,"""cytochalasin D""",compound x growth plate,False,0.005
PMC12179034,40537609,10.1007/s00018-025-05789-4,Piezo1 selectively enhances TGF-β1-induced IgA class switching by B cells.,2025,Cellular and molecular life sciences : CMLS,3,"""Yoda1""",compound x growth plate,False,0.005
PMC9368720,35954234,10.3390/cells11152390,Pre-Synaptic GABA<sub>A</sub> in NaV1.8<sup>+</sup> Primary Afferents Is Required for the Development of Punctate but Not Dynamic Mechanical Allodynia following CFA Inflammation.,2022,Cells,3,"""NKCC1""",target x growth x geometry,False,0.005
PMC11968285,40190343,10.1016/j.jot.2025.01.008,The role of Piezo1 in bone marrow stem cells in response to elevated intraosseous pressure on regulating osteogenesis and angiogenesis of steroid-induced osteonecrosis of the femoral head.,2025,Journal of orthopaedic translation,3,"""GsMTx4""; ""Yoda1""",compound x growth plate,False,0.005
PMC12210528,40598380,10.1186/s13287-025-04439-7,Tensile stress promotes the chondrogenic ability of condylar cartilage stem/progenitor cells in the temporomandibular joint via the Piezo1-Ca<sup>2+</sup>-Prkca pathway.,2025,Stem cell research & therapy,3,"""GsMTx4""; ""PIEZO1""",compound x growth plate; target x growth x geometry,False,0.005
PMC12442881,40961208,10.1126/sciadv.ady5212,Gangliosides modulate the secretion of extracellular vesicles and their misfolded protein cargo.,2025,Science advances,3,"""Y-27632""",compound x growth plate,False,0.005
PMC12095870,40405967,10.3389/fendo.2025.1571502,Matrix stiffness in osteoarthritis: from mechanism introduction to biomaterial-based therapies.,2025,Frontiers in endocrinology,3,"""RAC1""; ""RHOA""; ""TRPV4""",target x growth x geometry,False,0.005
PMC11048829,38667667,10.3390/gels10040248,Recent Advancements in Hydrogel Biomedical Research in Italy.,2024,"Gels (Basel, Switzerland)",3,"""latrunculin""",compound x growth plate,False,0.005
PMC12305335,40735355,10.1016/j.bioactmat.2025.07.027,Mechanosignaling and 3D morphological adaptation of MSCs in response to hydrogel rigidity underpin angiogenic and immunomodulatory efficacy for ischemic injury regeneration.,2025,Bioactive materials,3,"""FAK""; ""Y-27632""; ""Y27632""; ""blebbistatin""; ""latrunculin""",compound x growth plate; target x growth x geometry,False,0.005
PMC12361519,40825772,10.1038/s41467-025-62020-5,Plant-derived hydrogel and photosynthetic nano-units for myocardial infarction therapy.,2025,Nature communications,3,"""amiloride""",compound x growth plate,False,0.005
PMC12580230,40855815,10.1111/os.70161,Pain Phenotype in Knee Osteoarthritis: Implications for Mechanism-Based Therapy.,2025,Orthopaedic surgery,3,"""GsMTx4""",compound x growth plate,False,0.005
PMC12088769,40391024,10.1016/j.mtbio.2025.101805,Ultrasound-driven wireless piezoelectric hydrogel synergizes with cotransplantation of NSCs-hUCMSCs for structural and functional recovery in spinal cord injury.,2025,Materials today. Bio,3,"""GsMTx4""",compound x growth plate,False,0.005
PMC12454285,40995111,10.1016/j.bioactmat.2025.08.043,Core-shell engineered Col/Cs@ECM microspheres for macrophage-targeted intracellular drug release in RA therapy.,2025,Bioactive materials,3,"""cytochalasin D""",compound x growth plate,False,0.005
PMC12027123,40332148,10.3390/ijms26083630,&lt;i&gt;Segatella copri&lt;/i&gt; Outer-Membrane Vesicles Are Internalized by Human Macrophages and Promote a Pro-Inflammatory Profile.,2025,International journal of molecular sciences,3,"""cytochalasin D""",compound x growth plate,False,0.005
PMC12470000,41010044,10.3390/genes16091099,De Novo Variants Predominate in Autism Spectrum Disorder.,2025,Genes,3,"""amiloride""; ""aquaporin""",compound x growth plate; target x growth x geometry,False,0.005
PMC12770474,41350258,10.1038/s41467-025-66791-9,Bone homeostasis regulation by in vivo generation of osteoclast-derived apoptotic bodies using targeted self-assembly.,2025,Nature communications,3,"""EIPA""; ""amiloride""",compound x growth plate,False,0.005
PMC10870055,38083984,10.1002/advs.202306143,A Novel Cargo Delivery System-AnCar-Exo<sup>LaIMTS</sup> Ameliorates Arthritis via Specifically Targeting Pro-Inflammatory Macrophages.,2024,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",3,"""amiloride""",compound x growth plate,False,0.005
PMC11988852,40243480,10.3390/ijms26072896,Cathepsin K Inhibitors as Potential Drugs for the Treatment of Osteoarthritis.,2025,International journal of molecular sciences,3,"""primary cilia""",target x growth x geometry,False,0.005
PMC11807010,39923120,10.1111/iep.12525,Extracellular matrix: Dystroglycan interactions-Roles for the dystrophin-associated glycoprotein complex in skeletal tissue dynamics.,2025,International journal of experimental pathology,3,"""FAK""; ""PIEZO1""; ""focal adhesion""",target x growth x geometry,False,0.005
PMC11034643,38648228,10.1371/journal.pone.0297766,Assessing the causal associations of different types of statins use and knee/hip osteoarthritis: A Mendelian randomization study.,2024,PloS one,3,"""simvastatin""",compound x growth plate,False,0.005
PMC11103748,38614122,10.1530/ec-23-0374,"Smoking enhances proliferation, inflammatory markers, and immunoglobulins in peripheral blood mononuclear cells from Graves' patients.",2024,Endocrine connections,3,"""simvastatin""",compound x growth plate,False,0.005
PMC10393040,37533694,10.3389/fbioe.2023.1217919,Chirality-biased protein expression profile during early stages of bone regeneration.,2023,Frontiers in bioengineering and biotechnology,3,"""fasudil""",compound x growth plate,False,0.005
PMC12269283,40678261,10.1016/j.bioactmat.2025.06.047,Mevalonate pathway-triggered phase transition of injectable hydrogel for cholesterol-downregulated therapy of osteoarthritis.,2025,Bioactive materials,3,"""simvastatin""",compound x growth plate,False,0.005
PMC12331885,40787071,10.1002/mco2.70325,Molecular Mechanisms of Chronic Pain and Therapeutic Interventions.,2025,MedComm,3,"""amiloride""",compound x growth plate,False,0.005
PMC11789390,39658204,10.1093/jbmr/zjae199,An activating calcium-sensing receptor variant with biased signaling reveals a critical residue for Gα11 coupling.,2025,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,3,"""amiloride""",compound x growth plate,False,0.005
PMC8921176,35066808,10.1007/s13258-021-01204-x,Integrin β-like 1 protein (ITGBL1) promotes cell migration by preferentially inhibiting integrin-ECM binding at the trailing edge.,2022,Genes & genomics,3,"""integrin beta1""; ""non-muscle myosin II""",target x growth x geometry,False,0.005
PMC10023793,36932137,10.1038/s41598-023-31437-7,Rapid and effective preparation of clonal bone marrow-derived mesenchymal stem/stromal cell sheets to reduce renal fibrosis.,2023,Scientific reports,3,"""non-muscle myosin II""",target x growth x geometry,False,0.005
PMC12277764,40697780,10.1016/j.xinn.2025.100913,Trojan horse-inspired spatiotemporal strategy augments cartilage regeneration by enhancing mitochondrial energy production.,2025,Innovation (Cambridge (Mass.)),3,"""osmotic swelling""",target x growth x geometry,False,0.005
PMC12445042,40968356,10.1186/s40779-025-00646-8,ALDH2 in autophagy and cell death: molecular mechanisms and implications for diseases.,2025,Military Medical Research,3,"""aquaporin""",target x growth x geometry,False,0.005
PMC11572509,39551765,10.1186/s13287-024-03960-5,Prolonged cultivation enhances the stimulatory activity of hiPSC mesenchymal progenitor-derived conditioned medium.,2024,Stem cell research & therapy,3,"""MYH9""; ""centrosome""",target x growth x geometry,False,0.005
PMC11946555,40137550,10.3390/toxics13030223,Acrylamide and Its Metabolite Glycidamide Induce Reproductive Toxicity During In Vitro Maturation of Bovine Oocytes.,2025,Toxics,3,"""centrosome""",target x growth x geometry,False,0.005
PMC11101682,38764447,10.1016/j.bioactmat.2024.05.011,Ultrasound-triggered three dimensional hyaluronic acid hydrogel promotes in vitro and in vivo reprogramming into induced pluripotent stem cells.,2024,Bioactive materials,3,"""cytochalasin D""",compound x growth plate,False,0.005
PMC10949803,38500216,10.1186/s13287-024-03691-7,iMSC-mediated delivery of ACVR2B-Fc fusion protein reduces heterotopic ossification in a mouse model of fibrodysplasia ossificans progressiva.,2024,Stem cell research & therapy,3,"""Y27632""",compound x growth plate,False,0.005
PMC12772458,40062454,10.1021/acsami.4c15873,Kidney-Derived ECM Hydrogels as Cell Delivery Devices.,2025,ACS applied materials & interfaces,3,"""aquaporin""",target x growth x geometry,False,0.005
PMC12384526,40862735,10.3390/cells14161256,Fibroblast Growth Factors in Lung Development and Regeneration: Mechanisms and Therapeutic Potential.,2025,Cells,3,"""aquaporin""",target x growth x geometry,False,0.005
PMC11664833,36688798,10.5152/eurjrheum.2023.21093,Chondrocalcinosis and Osteoarthritis: A Literature Review.,2023,European journal of rheumatology,3,"""colchicine""",compound x growth plate,False,0.005
PMC7906808,33679988,10.1155/2021/6633386,Molecular Insights into the Potential of Extracellular Vesicles Released from Mesenchymal Stem Cells and Other Cells in the Therapy of Hematologic Malignancies.,2021,Stem cells international,3,"""integrin beta1""",target x growth x geometry,False,0.005
PMC12191441,40563777,10.3390/brainsci15060605,Bidirectional Role of Pericytes in Ischemic Stroke.,2025,Brain sciences,3,"""aquaporin""",target x growth x geometry,False,0.005
PMC11941486,40136734,10.3390/dj13030106,Age-Related Oral and Para-Oral Tissue Disorders: The Evolving Therapeutic and Diagnostic Potential of Exosomes.,2025,Dentistry journal,3,"""aquaporin""",target x growth x geometry,False,0.005
PMC12187747,40567499,10.3389/fcell.2025.1547582,&lt;i&gt;KRAS&lt;/i&gt; and &lt;i&gt;NRF2&lt;/i&gt; drive metabolic reprogramming in pancreatic cancer cells: the influence of oxidative and nitrosative stress.,2025,Frontiers in cell and developmental biology,3,"""aquaporin""",target x growth x geometry,False,0.005
PMC12329282,40777543,10.1016/j.ajpc.2025.101061,Sodium-glucose cotransporter 2 inhibitors and atherosclerosis.,2025,American journal of preventive cardiology,3,"""colchicine""",compound x growth plate,False,0.005
PMC12044026,40307492,10.1038/s41598-025-99693-3,Integrating microbiome and metabolome analyses to unravel the role of inulin in enhancing the meat quality and bone health of ducks.,2025,Scientific reports,2,"""cholesterol""; ""jasplakinolide""",compound x growth plate; target x growth x geometry,False,0.0033333333333333335
PMC12293388,40728978,10.3390/cimb47070509,Tissue Repair Mechanisms of Dental Pulp Stem Cells: A Comprehensive Review from Cutaneous Regeneration to Mucosal Healing.,2025,Current issues in molecular biology,2,"""CDC42""",target x growth x geometry,False,0.0033333333333333335
PMC12530705,40582013,10.1002/mabi.202500093,A Tissue Engineering's Guide to Biomimicry.,2025,Macromolecular bioscience,2,"""aquaporin""",target x growth x geometry,False,0.0033333333333333335
PMC12504238,41070095,10.3389/fcvm.2025.1664067,Macrophages as key modulators of calcific aortic valve disease.,2025,Frontiers in cardiovascular medicine,2,"""colchicine""; ""cytochalasin D""",compound x growth plate,False,0.0033333333333333335
PMC12562032,41153769,10.3390/biomedicines13102486,Exosomes in Osteoarthritis: Breakthrough Innovations and Advanced Tissue Engineering for Cartilage Regeneration Since 2020.,2025,Biomedicines,2,"""MYH9""",target x growth x geometry,False,0.0033333333333333335
PMC10219133,37240210,10.3390/ijms24108864,"A Novel Mutation in the &lt;i&gt;ADAMTS10&lt;/i&gt; Associated with Weil-Marchesani Syndrome with a Unique Presentation of Developed Membranes Causing Severe Stenosis of the Supra Pulmonic, Supramitral, and Subaortic Areas in the Heart.",2023,International journal of molecular sciences,2,"""furosemide""",compound x growth plate,False,0.0033333333333333335
PMC12033550,40291758,10.1177/17562864251326769,Secondary stroke prevention beyond antiplatelets: The role of colchicine and GLP-1RA - an ounce of prevention is worth a pound of cure.,2025,Therapeutic advances in neurological disorders,2,"""colchicine""",compound x growth plate,False,0.0033333333333333335
PMC12625291,41254711,10.1186/s40001-025-03408-3,NETosis-specific cell death: a novel mechanism in the pathogenesis of gouty arthritis.,2025,European journal of medical research,2,"""colchicine""",compound x growth plate,False,0.0033333333333333335
PMC12375887,40851321,10.1111/1756-185x.70402,2024 Update of Chinese Guidelines for Management of Hyperuricemia and Gout Part II: Recommendations for Patients With Common Comorbidities.,2025,International journal of rheumatic diseases,2,"""colchicine""",compound x growth plate,False,0.0033333333333333335
PMC12171443,40530333,10.3389/fcell.2025.1586193,Chronotherapy and intervertebral disc degeneration: understanding the role of circadian rhythm in degenerative processes.,2025,Frontiers in cell and developmental biology,2,"""GSK4112""; ""nobiletin""",compound x growth plate,False,0.0033333333333333335
PMC12154245,40508141,10.3390/ijms26115333,Pericytes and Diabetic Microangiopathies: Tissue Resident Mesenchymal Stem Cells with High Plasticity and Regenerative Capacity.,2025,International journal of molecular sciences,2,"""fasudil""",compound x growth plate,False,0.0033333333333333335
PMC11940411,40149974,10.3390/biom15030438,Efficient Fabrication of Human Corneal Stromal Cell Spheroids and Promoting Cell Stemness Based on 3D-Printed Derived PDMS Microwell Platform.,2025,Biomolecules,2,"""LIMK1""",target x growth x geometry,False,0.0033333333333333335
PMC7890980,33602260,10.1186/s13005-021-00256-4,Neurofibromin expression by normal salivary glands.,2021,Head & face medicine,2,"""LIMK2""",target x growth x geometry,False,0.0033333333333333335
PMC12307154,40740858,10.3389/fonc.2025.1611920,Polyploid giant cancer cells and tumor budding: translation from basic research to clinical application.,2025,Frontiers in oncology,2,"""CDC42""; ""centrosome""",target x growth x geometry,False,0.0033333333333333335
PMC10553199,37811011,10.1097/ms9.0000000000001146,Pachydermoperiostosis: a case report of initial improvement with etoricoxib.,2023,Annals of medicine and surgery (2012),2,"""colchicine""",compound x growth plate,False,0.0033333333333333335
PMC6958548,31939513,10.1590/1984-0462/2020/38/2018239,BARIATRIC SURGERY AS A TREATMENT FOR IDIOPATHIC INTRACRANIAL HYPERTENSION IN A MALE ADOLESCENT: CASE REPORT.,2020,Revista paulista de pediatria : orgao oficial da Sociedade de Pediatria de Sao Paulo,2,"""acetazolamide""",compound x growth plate,False,0.0033333333333333335
PMC12891525,41667436,10.1038/s41413-025-00503-3,"Pharmacological HIF activation protects against diet-induced obesity, glucose intolerance, and skeletal dysfunction by exerting dual beneficial effects on energy metabolism and bone.",2026,Bone research,2,"""cholesterol""",compound x growth plate; target x growth x geometry,False,0.0033333333333333335
PMC10814392,38255389,10.3390/children11010076,Neurodevelopment Outcomes in Very-Low-Birth-Weight Infants with Metabolic Bone Disease at 2 Years of Age.,2024,"Children (Basel, Switzerland)",2,"""furosemide""",compound x growth plate,False,0.0033333333333333335
PMC12221575,40606846,10.1016/j.jot.2025.06.007,Electric currents in disc health: The role of ion channels in intervertebral disc pathophysiology.,2025,Journal of orthopaedic translation,2,"""GsMTx4""; ""amiloride""",compound x growth plate,False,0.0033333333333333335
PMC11885616,40050624,10.1038/s41598-025-89370-w,Inhibition of TGF-β signaling enhances osteogenic potential of iPSC-derived MSCs.,2025,Scientific reports,2,"""Y27632""",compound x growth plate,False,0.0033333333333333335
PMC10218682,37239471,10.3390/genes14051111,Differential Regulation of POC5 by ERα in Human Normal and Scoliotic Cells.,2023,Genes,2,"""centrosome""",target x growth x geometry,False,0.0033333333333333335
PMC12026827,40332204,10.3390/ijms26083626,Piceatannol Inhibits the Immunostimulatory Functions of Dendritic Cells and Alleviates Experimental Arthritis.,2025,International journal of molecular sciences,2,"""cytochalasin D""",compound x growth plate,False,0.0033333333333333335
PMC11730662,39535422,10.1002/adhm.202402400,Hydrogel Elastic Energy: A Stressor Triggering an Adaptive Stress-Mediated Cell Response.,2025,Advanced healthcare materials,2,"""cytochalasin D""; ""nocodazole""; ""osmotic swelling""",compound x growth plate; target x growth x geometry,False,0.0033333333333333335
PMC12193150,40564894,10.3390/ijms26125430,Unveiling the Involvement of Extracellular Vesicles in Breast Cancer's Organotrophic Metastasis: Molecular Mechanisms and Translational Prospects.,2025,International journal of molecular sciences,2,"""MYH9""; ""NKCC1""",target x growth x geometry,False,0.0033333333333333335
PMC8944783,35327184,10.3390/ani12060788,"Comprehensive Analyses of Bone and Cartilage Transcriptomes Evince Ion Transport, Inflammation and Cartilage Development-Related Genes Involved in Chickens' Femoral Head Separation.",2022,Animals : an open access journal from MDPI,2,"""MYH9""",target x growth x geometry,False,0.0033333333333333335
PMC12631886,40878476,10.1002/advs.202509453,Centimeter-Scale Self-Assembling Tendon Organoids Drive Tissue Regeneration.,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2,"""Y27632""",compound x growth plate,False,0.0033333333333333335
PMC11650276,39691700,10.1016/j.ocarto.2024.100550,MicroRNA-181a/b-1 enhances chondroprogenitor anabolism and downregulates aquaporin-9.,2025,Osteoarthritis and cartilage open,2,"""aquaporin""",target x growth x geometry,False,0.0033333333333333335
PMC12848019,41469373,10.1038/s41467-025-67793-3,Chemotherapy-induced adipo-lineage cell senescence drives bone loss.,2025,Nature communications,2,"""cholesterol""",target x growth x geometry,False,0.0033333333333333335
PMC13261385,42104641,10.1002/adma.202516189,Synchronizing the Osteochondral Regeneration Process through Spatial Patterning of Stable and Hypertrophic Cartilage Organoids.,2026,"Advanced materials (Deerfield Beach, Fla.)",2,"""Y27632""",compound x growth plate,False,0.0033333333333333335
PMC12457634,40986224,10.1007/s40520-025-03119-z,"World Congress on Osteoporosis, Osteoarthritis and Musculoskeletal Diseases (WCO-IOF-ESCEO 2025).",2025,Aging clinical and experimental research,2,"""furosemide""",compound x growth plate,False,0.0033333333333333335
PMC11653010,39697524,10.1093/jbmrpl/ziae133,"Geranylgeranyl diphosphate synthase inhibition impairs osteoclast differentiation, morphology, and resorptive activity.",2025,JBMR plus,2,"""CDC42""; ""RAC1""; ""lovastatin""",compound x growth plate; target x growth x geometry,False,0.0033333333333333335
PMC10071761,37013640,10.1186/s13018-023-03757-x,Minimally invasive excision and reconstruction of Achilles tendon xanthoma using free autologous semitendinosus tendon transfer: a surgical technique.,2023,Journal of orthopaedic surgery and research,2,"""lovastatin""",compound x growth plate,False,0.0033333333333333335
PMC10491590,37684281,10.1038/s41598-023-41017-4,Identification of co-diagnostic effect genes for aortic dissection and metabolic syndrome by multiple machine learning algorithms.,2023,Scientific reports,2,"""SLC9A1""",target x growth x geometry,False,0.0033333333333333335
PMC12514186,41073372,10.1038/s41467-025-63606-9,Cellular and genetic mechanisms that shape the development and evolution of tail vertebral proportion in mice and jerboas.,2025,Nature communications,2,"""planar cell polarity""",target x growth x geometry,False,0.0033333333333333335
PMC11338775,39176085,10.3389/fimmu.2024.1353915,Unveiling the bioinformatic genes and their involved regulatory mechanisms in type 2 diabetes combined with osteoarthritis.,2024,Frontiers in immunology,2,"""lovastatin""",compound x growth plate,False,0.0033333333333333335
PMC11447359,39364244,10.1016/j.heliyon.2024.e38006,Obtaining source material for cellular agriculture.,2024,Heliyon,2,"""MYH9""",target x growth x geometry,False,0.0033333333333333335
PMC9304623,35873582,10.3389/fphar.2022.942209,The Role of ASIC1a in Inflammatory Immune Diseases: A Potential Therapeutic Target.,2022,Frontiers in pharmacology,2,"""NSC23766""; ""amiloride""",compound x growth plate,False,0.0033333333333333335
PMC7102202,28840254,10.1007/s00467-017-3753-x,"Abstracts of the 50th Anniversary ESPN Meeting, Glasgow, September 2017.",2017,"Pediatric nephrology (Berlin, Germany)",2,"""LIMK1""",target x growth x geometry,False,0.0033333333333333335
PMC12828605,41585444,10.1016/j.mtbio.2026.102782,Mechanochemical regulation of organoid morphogenesis: Integrated signaling circuits in engineered microenvironments.,2026,Materials today. Bio,2,"""PIEZO1""; ""TRPV4""",target x growth x geometry,False,0.0033333333333333335
PMC12791149,41521187,10.1038/s41413-025-00487-0,"Biologics for bone regeneration: advances in cell, protein, gene, and mRNA therapies.",2026,Bone research,2,"""simvastatin""",compound x growth plate,False,0.0033333333333333335
PMC12919287,41727274,10.1016/j.bioactmat.2026.01.049,Hierarchical micro-/nanostructured hydroxyapatite scaffolds promote osteoporotic bone regeneration via activation of hedgehog and HIF-1α signaling.,2026,Bioactive materials,2,"""FAK""; ""focal adhesion""",target x growth x geometry,False,0.0033333333333333335
PMC11550462,39521910,10.1038/s41598-024-78580-3,Meniscus gene expression profiling of inner and outer zone meniscus tissue compared to cartilage and passaged monolayer meniscus cells.,2024,Scientific reports,2,"""MYH9""",target x growth x geometry,False,0.0033333333333333335
PMC12204310,40577073,10.1096/fj.202402989r,Aging and Altered Gravity: A Cellular Perspective.,2025,FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2,"""FAK""; ""microtubule""",target x growth x geometry,False,0.0033333333333333335
PMC12550959,41141284,10.3389/fbioe.2025.1652897,Extended view on the mechanobiology of fracture healing: interplay between mechanics and inflammation.,2025,Frontiers in bioengineering and biotechnology,2,"""TRPV4""",target x growth x geometry,False,0.0033333333333333335
PMC12064995,40346964,10.1111/jcmm.70601,The Potential Hepatocyte Differentiation Targets and MSC Proliferation by FH1.,2025,Journal of cellular and molecular medicine,2,"""centrosome""",target x growth x geometry,False,0.0033333333333333335
PMC11604762,39609464,10.1038/s41598-024-75538-3,CMTM7 shapes the chronic inflammatory and immunosuppressive tumor microenvironment in hepatocellular carcinoma as an M2 macrophage biomarker.,2024,Scientific reports,2,"""fasudil""",compound x growth plate,False,0.0033333333333333335
PMC9388969,34585268,10.1007/s00259-021-05356-6,"The false myth of ""iodine allergy"" also in nuclear medicine.",2021,European journal of nuclear medicine and molecular imaging,2,"""acetazolamide""",compound x growth plate,False,0.0033333333333333335
PMC11007094,38606170,10.3389/fphar.2024.1337161,"A comprehensive review of the botany, phytochemistry, pharmacology, and toxicology of Murrayae Folium et Cacumen.",2024,Frontiers in pharmacology,2,"""acetazolamide""",compound x growth plate,False,0.0033333333333333335
PMC12727127,39908267,10.14336/ad.2024.1408,"Unveiling Lipid Droplet Transport Dynamics as Biomarkers of Senescence Using Label-Free, Time-Lapse Holotomography.",2025,Aging and disease,2,"""centrosome""",target x growth x geometry,False,0.0033333333333333335
PMC12024444,40292098,10.7717/peerj.19334,The Hippo pathway in bone and cartilage: implications for development and disease.,2025,PeerJ,2,"""simvastatin""",compound x growth plate,False,0.0033333333333333335
PMC11506307,39476113,10.1590/0103-6440202406114,Effect of local and systemic administration of atorvastatin for improving bone healing on critical defects.,2024,Brazilian dental journal,2,"""lovastatin""; ""simvastatin""",compound x growth plate,False,0.0033333333333333335
PMC12204717,40584816,10.1063/5.0271050,Epigenetic regulation and mechanobiological adaptation in tenocytes during maturation.,2025,APL bioengineering,2,"""MYH9""",target x growth x geometry,False,0.0033333333333333335
PMC12481617,41035432,10.1016/j.bioactmat.2025.09.016,Remodeling of senescent macrophages in synovium alleviates trauma- and aging-induced osteoarthritis.,2026,Bioactive materials,2,"""EIPA""; ""cytochalasin D""",compound x growth plate,False,0.0033333333333333335
PMC12190086,40564003,10.3390/biomedicines13061283,Exosomal Protein Biomarkers in Arthritis: Deciphering the Inflammatory Profiles of RA and OA.,2025,Biomedicines,2,"""ROCK2""",target x growth x geometry,False,0.0033333333333333335
PMC13017717,41055578,10.1093/jbmr/zjaf141,"Hypophosphatasia-pathophysiological understanding, preclinical data looking beyond the skeleton, and upcoming treatments.",2026,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,2,"""cholesterol""",compound x growth plate,False,0.0033333333333333335
PMC12487600,40846464,10.1113/jp288924,From fibro/adipogenic progenitors to adipocytes: Understanding adipogenesis in muscle degeneration for disease modulation.,2025,The Journal of physiology,2,"""ROCK2""",target x growth x geometry,False,0.0033333333333333335
PMC11083072,38727280,10.3390/cells13090744,Stem-Cell-Driven Chondrogenesis: Perspectives on Amnion-Derived Cells.,2024,Cells,2,"""cadherin""",target x growth x geometry,False,0.0033333333333333335
PMC12011707,40257501,10.1007/s00018-025-05681-1,Increased thermal stability of FGF10 leads to ectopic signaling during development.,2025,Cellular and molecular life sciences : CMLS,2,"""cadherin""",target x growth x geometry,False,0.0033333333333333335
PMC10008777,36923207,10.7759/cureus.34789,Confusion With Presentations of Calcium Pyrophosphate Dihydrate Disease: A Report of Two Cases Mistaken for Cellulitis.,2023,Cureus,2,"""colchicine""; ""lovastatin""",compound x growth plate,False,0.0033333333333333335
PMC12288192,40697045,10.1080/07853890.2025.2533428,Using Mendelian randomization analyses in osteoarthritis: state of art and future perspectives.,2025,Annals of medicine,2,"""simvastatin""",compound x growth plate,False,0.0033333333333333335
PMC12873127,41484482,10.1038/s42003-025-09433-6,A human pathophysiological 3D-bone marrow model reveals immune and stromal cell heterogeneity.,2026,Communications biology,2,"""Y-27632""",compound x growth plate,False,0.0033333333333333335
PMC12360289,40824304,10.1083/jcb.202411167,"Multiple golgins are required to support extracellular matrix secretion, modification, and assembly.",2025,The Journal of cell biology,2,"""nocodazole""",compound x growth plate,False,0.0033333333333333335
PMC11508627,39456957,10.3390/ijms252011176,"p57<sup>Kip2</sup> Phosphorylation Modulates Its Localization, Stability, and Interactions.",2024,International journal of molecular sciences,2,"""LIMK1""; ""cofilin""; ""nocodazole""",compound x growth plate; target x growth x geometry,False,0.0033333333333333335
PMC12783963,41020390,10.1002/adma.202512399,The Bionic Interface: Considering the Material Mediated Electrical Stimulation of Stem Cells.,2026,"Advanced materials (Deerfield Beach, Fla.)",2,"""cytochalasin D""",compound x growth plate,False,0.0033333333333333335
PMC2595676,685300,,A model for ulnar dysmelia.,1978,The Yale journal of biology and medicine,2,"""acetazolamide""",compound x growth plate,False,0.0033333333333333335
