compound,chembl_id,compound_family,primary_target_queried,classification_basis,broad_poison_class
CHEMBL420609,CHEMBL420609,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL303529,CHEMBL303529,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4104747,CHEMBL4104747,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3892054,CHEMBL3892054,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3672436,CHEMBL3672436,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL595685,CHEMBL595685,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL583042,CHEMBL583042,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL574200,CHEMBL574200,Rho/Rac/Cdc42 modulator,CDC42,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL6168100,CHEMBL6168100,ion / volume regulation,KCNK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL5817921,CHEMBL5817921,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL139040,CHEMBL139040,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3143231,CHEMBL3143231,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1257799,CHEMBL1257799,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL473758,CHEMBL473758,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL4781948,CHEMBL4781948,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL372051,CHEMBL372051,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL115307,CHEMBL115307,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL323075,CHEMBL323075,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3598048,CHEMBL3598048,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2170821,CHEMBL2170821,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL551873,CHEMBL551873,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1813100,CHEMBL1813100,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL358974,CHEMBL358974,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3593921,CHEMBL3593921,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5967744,CHEMBL5967744,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL2069430,CHEMBL2069430,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2334218,CHEMBL2334218,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1392806,CHEMBL1392806,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2335542,CHEMBL2335542,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1370630,CHEMBL1370630,Rho/Rac/Cdc42 modulator,CDC42,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3958126,CHEMBL3958126,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL1165259,CHEMBL1165259,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1257327,CHEMBL1257327,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5901094,CHEMBL5901094,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL1257558,CHEMBL1257558,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CGP-52421,CHEMBL1240703,FAK / adhesion turnover,PTK2B,no geometry evidence and no measured mechanistic advantage,
CHEMBL1373514,CHEMBL1373514,ion / volume regulation,SLC12A2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL42979,CHEMBL42979,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL351511,CHEMBL351511,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL1085214,CHEMBL1085214,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
PI-103,CHEMBL573339,myosin-II modulator,MYLK,no geometry evidence and no measured mechanistic advantage,
CHEMBL3401984,CHEMBL3401984,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL418627,CHEMBL418627,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5982878,CHEMBL5982878,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3732800,CHEMBL3732800,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL576283,CHEMBL576283,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3598052,CHEMBL3598052,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL504781,CHEMBL504781,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL317693,CHEMBL317693,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2398697,CHEMBL2398697,Rho/Rac/Cdc42 modulator,RHOA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1702623,CHEMBL1702623,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3902066,CHEMBL3902066,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL203020,CHEMBL203020,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1808156,CHEMBL1808156,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3919826,CHEMBL3919826,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1808158,CHEMBL1808158,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1808157,CHEMBL1808157,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3355512,CHEMBL3355512,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL570647,CHEMBL570647,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL381374,CHEMBL381374,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1802763,CHEMBL1802763,Rho/Rac/Cdc42 modulator,RHOA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL207053,CHEMBL207053,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL261622,CHEMBL261622,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1083455,CHEMBL1083455,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL6176207,CHEMBL6176207,ion / volume regulation,KCNK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL2347009,CHEMBL2347009,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3355513,CHEMBL3355513,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5985483,CHEMBL5985483,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL381262,CHEMBL381262,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1829135,CHEMBL1829135,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL45913,CHEMBL45913,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2070500,CHEMBL2070500,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1345770,CHEMBL1345770,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2070494,CHEMBL2070494,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1807233,CHEMBL1807233,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5873063,CHEMBL5873063,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL1388603,CHEMBL1388603,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL593490,CHEMBL593490,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4551507,CHEMBL4551507,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1998611,CHEMBL1998611,LIMK inhibitor,LIMK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1993166,CHEMBL1993166,LIMK inhibitor,LIMK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1966425,CHEMBL1966425,polarity / cilia,PRKCI,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1975128,CHEMBL1975128,polarity / cilia,PRKCI,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL319870,CHEMBL319870,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL294420,CHEMBL294420,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1258601,CHEMBL1258601,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5181734,CHEMBL5181734,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL497003,CHEMBL497003,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2181537,CHEMBL2181537,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5287294,CHEMBL5287294,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL41351,CHEMBL41351,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3680991,CHEMBL3680991,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3685724,CHEMBL3685724,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3706664,CHEMBL3706664,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2418982,CHEMBL2418982,RORalpha / lipid pathway,NPC1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL110029,CHEMBL110029,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3330754,CHEMBL3330754,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL346467,CHEMBL346467,myosin-II modulator,MYLK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2398698,CHEMBL2398698,Rho/Rac/Cdc42 modulator,RHOA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1360609,CHEMBL1360609,ion / volume regulation,SLC12A2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL6173364,CHEMBL6173364,ion / volume regulation,KCNK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL4098234,CHEMBL4098234,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL100188,CHEMBL100188,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL113369,CHEMBL113369,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3598047,CHEMBL3598047,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL48034,CHEMBL48034,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2347006,CHEMBL2347006,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5902942,CHEMBL5902942,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL2334210,CHEMBL2334210,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL13462,CHEMBL13462,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3897132,CHEMBL3897132,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL2335538,CHEMBL2335538,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3355499,CHEMBL3355499,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL320352,CHEMBL320352,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2347011,CHEMBL2347011,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2335540,CHEMBL2335540,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL342313,CHEMBL342313,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3897802,CHEMBL3897802,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL261115,CHEMBL261115,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1802837,CHEMBL1802837,Rho/Rac/Cdc42 modulator,RHOA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3330737,CHEMBL3330737,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4241732,CHEMBL4241732,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL192601,CHEMBL192601,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL192109,CHEMBL192109,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL139412,CHEMBL139412,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL196714,CHEMBL196714,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL491314,CHEMBL491314,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL101831,CHEMBL101831,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3730229,CHEMBL3730229,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3728784,CHEMBL3728784,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3685643,CHEMBL3685643,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3681017,CHEMBL3681017,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL47509,CHEMBL47509,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL149702,CHEMBL149702,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL601834,CHEMBL601834,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3680987,CHEMBL3680987,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL392064,CHEMBL392064,ROCK1/2 inhibitor,ROCK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL240415,CHEMBL240415,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL136724,CHEMBL136724,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1209047,CHEMBL1209047,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4465197,CHEMBL4465197,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3593920,CHEMBL3593920,microtubule regulator (non-mitotic),MAPT,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL5809027,CHEMBL5809027,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL1808462,CHEMBL1808462,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL261621,CHEMBL261621,RORalpha / lipid pathway,HMGCR,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2002223,CHEMBL2002223,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3930052,CHEMBL3930052,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL5965983,CHEMBL5965983,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL5173421,CHEMBL5173421,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL318519,CHEMBL318519,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3598074,CHEMBL3598074,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL42230,CHEMBL42230,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL2170832,CHEMBL2170832,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1836485,CHEMBL1836485,LIMK inhibitor,LIMK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
EPIGALOCATECHIN GALLATE,CHEMBL297453,microtubule regulator (non-mitotic),MAPT,no geometry evidence and no measured mechanistic advantage,
CHEMBL91530,CHEMBL91530,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL434448,CHEMBL434448,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3685726,CHEMBL3685726,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3952145,CHEMBL3952145,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL39075,CHEMBL39075,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4238820,CHEMBL4238820,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL559874,CHEMBL559874,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4245885,CHEMBL4245885,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL383263,CHEMBL383263,FAK / adhesion turnover,PTK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3978811,CHEMBL3978811,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL4791938,CHEMBL4791938,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL1807221,CHEMBL1807221,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL523431,CHEMBL523431,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL557448,CHEMBL557448,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL6030904,CHEMBL6030904,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL3613613,CHEMBL3613613,LIMK inhibitor,LIMK2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3956711,CHEMBL3956711,ion / volume regulation,TRPV4,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL4069000,CHEMBL4069000,ion / volume regulation,ANO1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL315753,CHEMBL315753,FAK / adhesion turnover,SRC,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL497820,CHEMBL497820,polarity / cilia,SMO,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1347829,CHEMBL1347829,FAK / adhesion turnover,PTK2B,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3685703,CHEMBL3685703,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
NERATINIB,CHEMBL180022,FAK / adhesion turnover,PTK2,no geometry evidence and no measured mechanistic advantage,
CHEMBL3681011,CHEMBL3681011,FAK / adhesion turnover,ILK,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1079208,CHEMBL1079208,ROCK1/2 inhibitor,ROCK1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL379871,CHEMBL379871,ion / volume regulation,SLC9A1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well; target is swelling-only in any case",
CHEMBL353166,CHEMBL353166,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL3598051,CHEMBL3598051,RORalpha / lipid pathway,RORA,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL4239246,CHEMBL4239246,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL1824676,CHEMBL1824676,RORalpha / lipid pathway,SREBF2,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL21860,CHEMBL21860,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
CHEMBL22739,CHEMBL22739,RORalpha / lipid pathway,SOAT1,"no compound name in ChEMBL - an activity-table accession, not something that can be ordered or put in a well",
