pert_iname,clinical_phase,moa,target,mechanism_family,exclusion_reason,exclusion_match,excluded_because
ixazomib-citrate,Launched,proteasome inhibitor,,other / unclassified,proteasome inhibitor,proteasome,hard exclusion: proteasome inhibitor
JNJ-7706621,Preclinical,CDK inhibitor,AURKA|AURKB|CDK1|CDK2,kinase,Aurora inhibitor,AURKA; AURKB,hard exclusion: Aurora inhibitor
JW-67,Preclinical,WNT pathway inhibitor,APC|AXIN1|GSK3B,other / unclassified,GSK3 inhibition,GSK3B,hard exclusion: GSK3 inhibition
K-MAP,Phase 2,,,other / unclassified,,,no annotated mechanism of action
K-strophanthidin,Phase 2,ATPase inhibitor,ATP1A1,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
K-247,Phase 1,,,other / unclassified,,,no annotated mechanism of action
kaempferol,Preclinical,bone resorption inhibitor|estrogen-related receptor inverse agonist,AKR1B1|ALOX15B|ALOX5|AR|CYP1B1|GLO1|HSD17B1|UGT3A1,other / unclassified,systemic sex-steroid manipulation,AR,hard exclusion: systemic sex-steroid manipulation
karenitecin,Phase 3,topoisomerase inhibitor,TOP1,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
kenpaullone,Preclinical,CDK inhibitor|glycogen synthase kinase inhibitor,CCNB1|CDK1|CDK5|GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
KI-20227,Preclinical,c-Fms inhibitor,CSF1R|KDR|KIT|PDGFRB,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
KI-8751,Preclinical,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
KL-001,Preclinical,proteasome inhibitor,CRY1|CRY2,other / unclassified,proteasome inhibitor,proteasome,hard exclusion: proteasome inhibitor
KP-1212,Phase 2,,,other / unclassified,,,no annotated mechanism of action
KRN-633,Preclinical,VEGFR inhibitor,FLT1|FLT4|KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
KW-2449,Phase 1,Abl kinase inhibitor|Aurora kinase inhibitor|FLT3 inhibitor,ABL1|AURKA|AURKB|FLT3,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
KX2-391,Phase 3,SRC inhibitor|tubulin polymerization inhibitor,SRC,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
L-(+)-rhamnose-monohydrate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
L-alanine,Launched,,AARS|AARS2|ABAT|AGXT|AGXT2|GPRC6A|GPT|GPT2|KYNU|NFS1|PHYKPL|SLC1A4|SLC36A1|SLC7A8,transporter,,,no orderable sample (no SMILES or catalogue number)
L-ascorbyl-6-palmitate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
L-asparagine,Phase 3,,ASNS|ASRGL1|NARS|NARS2|SLC1A5|SLC38A3,transporter,,,no annotated mechanism of action
L-asparagine-N-hydroxy,Preclinical,,,other / unclassified,,,no annotated mechanism of action
L-cysteine,Launched,,CARS|CARS2|CBS|CDO-1|CDO1|CSAD|CTH|GCLC|GCLM|GOT1|GSS|MGMT|NFS1|SLC19A3,transporter,,,no annotated mechanism of action
L-cysteinesulfinic-acid,Preclinical,glutamate receptor agonist,GRM1|GRM5|GSR|HMGCS2|PAPOLA|PRDX2,GPCR,,,no orderable sample (no SMILES or catalogue number)
L-cystine,Launched,,CTNS|SLC3A1|SLC7A11|SLC7A9,transporter,,,no annotated mechanism of action
L-glutamine,Launched,,CTPS1|GLUL|GPRC6A|PPAT,other / unclassified,,,no annotated mechanism of action
L-hydroxyproline,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
L-leucine,Phase 3,,BCAT1|BCAT2|LARS|LARS2|LCMT1|LCMT2,other / unclassified,,,no annotated mechanism of action
L-phenylisopropyladenosine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
L-threonine,Phase 2,,TARS|TARS2|THNSL1,other / unclassified,,,no annotated mechanism of action
L-valine,Phase 2,,,other / unclassified,,,no annotated mechanism of action
lanatoside-C,Preclinical,cardiac glycoside,,other / unclassified,narrow-therapeutic-index cardiac glycoside,cardiac glycoside,hard exclusion: narrow-therapeutic-index cardiac glycoside
lasofoxifene,Launched,selective estrogen receptor modulator (SERM),ESR1|ESR2,other / unclassified,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
lauric-diethanolamide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
laurocapram,Phase 3,,,other / unclassified,,,no annotated mechanism of action
LE-135,Preclinical,retinoid receptor agonist,RARB,GPCR,known plate-fusion or premature-remodeling hazard,RARB,hard exclusion: known plate-fusion or premature-remodeling hazard
lenvatinib,Launched,FGFR inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FLT4|KDR,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
letrozole,Launched,aromatase inhibitor,CYP19A1,other / unclassified,systemic sex-steroid manipulation,aromatase,hard exclusion: systemic sex-steroid manipulation
leucylleucine-methyl-ester,Phase 2,,,other / unclassified,,,no annotated mechanism of action
leuprolide,Launched,gonadotropin releasing factor hormone receptor agonist,GNRHR,GPCR,systemic sex-steroid manipulation,gonadotropin,hard exclusion: systemic sex-steroid manipulation
levocarnitine,Launched,,CRAT|CROT,other / unclassified,,,no annotated mechanism of action
levofloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,TOP2A,hard exclusion: broad cytotoxic chemotherapeutic
levomenol,Launched,,,other / unclassified,,,no annotated mechanism of action
levomenthol,Launched,,OPRK1|TRPA1|TRPM8|TRPV3,other / unclassified,,,no annotated mechanism of action
levonorgestrel,Launched,estrogen receptor agonist|glucocorticoid receptor antagonist|progesterone receptor agonist|progesterone receptor antagonist,PGR,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
levothyroxine,Launched,thyroid hormone stimulant,THRA|THRB,other / unclassified,known plate-fusion or premature-remodeling hazard,THRA; THRB,hard exclusion: known plate-fusion or premature-remodeling hazard
liarozole,Phase 2/Phase 3,cytochrome P450 inhibitor,CYP19A1|CYP26A1,other / unclassified,systemic sex-steroid manipulation,CYP19A1,hard exclusion: systemic sex-steroid manipulation
licochalcone-A,Phase 3,topoisomerase inhibitor,PTPN1,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
lindane,Launched,,GABRB1|GLRA1|GLRA2|GLRA3|GLRB,other / unclassified,,,no annotated mechanism of action
linifanib,Phase 3,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,CSF1|CSF1R|FLT1|FLT3|FLT4|KDR|KIT|PDGFRB|RET|TEK,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
liothyronine,Launched,thyroid hormone stimulant,THRA|THRB,other / unclassified,known plate-fusion or premature-remodeling hazard,THRA; THRB,hard exclusion: known plate-fusion or premature-remodeling hazard
liothyronine-(isomer),Preclinical,,,other / unclassified,,,no annotated mechanism of action
lipoamide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
lithium-acetoacetate,Preclinical,,FAH,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
lithium-citrate,Launched,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
lomustine,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
loteprednol,Launched,glucocorticoid receptor agonist|phospholipase inhibitor,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
LSZ-102,Phase 1,selective estrogen receptor modulator (SERM),,other / unclassified,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
LTA,Phase 2,,,other / unclassified,,,no annotated mechanism of action
lucanthone,Phase 2,endonuclease inhibitor,APEX1|TOP1|TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,TOP1; TOP2A,hard exclusion: broad cytotoxic chemotherapeutic
lucitanib,Phase 2,FGFR inhibitor|VEGFR inhibitor,FGFR1|FLT1|KDR|KIT|PDGFRA|PDGFRB|RET,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
lumefantrine,Launched,antimalarial agent,ATP1A1,other / unclassified,narrow-therapeutic-index cardiac glycoside,ATP1A1,hard exclusion: narrow-therapeutic-index cardiac glycoside
luteolin,Phase 2,glucosidase inhibitor,TOP1,other / unclassified,broad cytotoxic chemotherapeutic,TOP1,hard exclusion: broad cytotoxic chemotherapeutic
LXR-623,Phase 1,LXR agonist,AR|NR1H2|NR1H3|NR1I2|NR3C1,nuclear receptor,systemic sex-steroid manipulation,AR,hard exclusion: systemic sex-steroid manipulation
lycopene,Launched,free radical scavenger,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
LY2090314,Phase 2,glycogen synthase kinase inhibitor,GSK3B,kinase; metabolic,GSK3 inhibition,glycogen synthase kinase,hard exclusion: GSK3 inhibition
LY2334737,Phase 1,antitumor agent|ribonucleotide reductase inhibitor,,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
LY2452473,Phase 2,androgen receptor modulator,AR,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
LY2874455,Phase 1,FGFR antagonist,FGFR1|FGFR2|FGFR3|FGFR4|KDR,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
LY294002,Preclinical,DNA dependent protein kinase inhibitor|mTOR inhibitor|phosphodiesterase inhibitor|PI3K inhibitor|PLK inhibitor,AKT1|CHEK1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIM1|PLK1|PRKCA|PRKDC|ROCK1|RPS6KB1|SGK1,kinase,PLK inhibitor,PLK,hard exclusion: PLK inhibitor
LY3295668,Phase 1/Phase 2,Aurora kinase inhibitor,,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
m-THP,Phase 1,,,other / unclassified,,,no annotated mechanism of action
M-14157,Phase 2,ATP-sensitive potassium channel antagonist,KCNQ1,ion channel,,,no orderable sample (no SMILES or catalogue number)
malic-acid,Launched,,PKD2L1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
mandelic-acid,Launched,,,other / unclassified,,,no annotated mechanism of action
maytansinol-isobutyrate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
MC-1,Phase 3,,AADAT|ABAT|AGXT|AGXT2|ALAS1|AZIN2|BCAT1|BCAT2|CBS|CCBL1|CCBL2|CSAD|CTH|DDC|FTCD|GAD1|GAD2|GADL1|GCAT|GLDC|GOT1|GOT2|GPT|GPT2|HDC|IGSF10|KYNU|MOCOS|NFS1|OAT|ODC1|PDXDC1|PDXP|PHYKPL|PNPO|PROSC|PSAT1|PYGB|PYGL|PYGM|SCLY|SDS|SDSL|SEPSECS|SGPL1|SHMT1|SHMT2|SPTLC1|SPTLC2|SPTLC3|SRR|TAT|THNSL1,other / unclassified,,,no annotated mechanism of action
mebendazole,Launched,tubulin polymerization inhibitor,TUBA1A|TUBB|TUBB4B,mechanotransduction,broad cytotoxic chemotherapeutic,tubulin polymerization inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
mebrofenin,Launched,,,other / unclassified,,,no annotated mechanism of action
mecarbinate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
medorinone,Phase 1,,,other / unclassified,,,no annotated mechanism of action
medroxyprogesterone,Launched,progesterone receptor agonist,PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
medroxyprogesterone-acetate,Launched,progesterone receptor agonist,ESR1|PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
medrysone,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
megestrol,Launched,progesterone receptor agonist,,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
megestrol-acetate,Launched,progesterone receptor agonist,NR3C1|PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
meglutol,Launched,HMGCR inhibitor,HMGCR,metabolic,,,no orderable sample (no SMILES or catalogue number)
melatonin,Launched,melatonin receptor agonist|nitric oxide synthase inhibitor,ASMT|CALM1|CALR|EPX|ESR1|HTR2B|MPO|MTNR1A|MTNR1B|NQO2|RORB,GPCR; metabolic,systemic sex-steroid manipulation,ESR1,hard exclusion: systemic sex-steroid manipulation
melengestrol-acetate,Preclinical,progesterone receptor agonist,,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
melphalan,Launched,DNA alkylating agent|DNA inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
meluadrine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
menbutone,Launched,,,other / unclassified,,,no annotated mechanism of action
meparfylon,Preclinical,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
mepiroxol,Preclinical,,,other / unclassified,,,no annotated mechanism of action
meprednisone,Launched,,NR3C1,other / unclassified,systemic glucocorticoid manipulation,NR3C1,hard exclusion: systemic glucocorticoid manipulation
mequinol,Launched,,TYR,other / unclassified,,,no annotated mechanism of action
merbarone,Phase 2,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
merbromin,Launched,antiseptic,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
mercaptopurine,Launched,immunosuppressant|protein synthesis inhibitor|purine antagonist,HPRT1|IMPDH1|IMPDH2|PPAT,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
mercaptosuccinic-acid,Launched,,,other / unclassified,,,no annotated mechanism of action
mertansine,Phase 2,microtubule inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
mestranol,Launched,estrogen receptor agonist,ESR1,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
meta-cresyl-acetate,Preclinical,,,other / unclassified,,,no annotated mechanism of action
metacresol,Launched,,INS,other / unclassified,,,no annotated mechanism of action
metafolin,Launched,,,other / unclassified,,,no annotated mechanism of action
methacycline,Preclinical,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
methanesulfonyl-fluoride,Phase 2,acetylcholinesterase inhibitor,ACHE,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
methionine,Launched,,METAP2,other / unclassified,,,no annotated mechanism of action
methoprene-(s),Preclinical,,,other / unclassified,,,no annotated mechanism of action
methoxsalen,Launched,DNA synthesis inhibitor,CYP1A1|CYP1A2|CYP2A13|CYP2A6|CYP3A4,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
methoxyamine,Phase 2,DNA repair enzyme inhibitor,APEX1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
methoxyflurane,Launched,membrane permeability inhibitor,ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|MT-ND1,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
methyl-aminolevulinate,Launched,oxidizing agent,FCGR1A|FECH,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
methyl-nicotinate,Phase 2,,,other / unclassified,,,no annotated mechanism of action
methyl-salicylate,Launched,,,other / unclassified,,,no annotated mechanism of action
methyl-5-hydroxytryptamine,Preclinical,,,other / unclassified,,,no annotated mechanism of action
methyldopate,Launched,,,other / unclassified,,,no annotated mechanism of action
methylprednisolone,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
methylprednisolone-aceponate,Launched,anti-inflammatory agent|glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
methylprednisolone-sodium-succinate,Launched,glucocorticoid receptor agonist,,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
methylthiouracil,Launched,,,other / unclassified,,,no annotated mechanism of action
mexeneone,Preclinical,,,other / unclassified,,,no annotated mechanism of action
MF-101,Phase 3,estrogen receptor agonist,CYP19A1|XDH,GPCR,systemic sex-steroid manipulation,estrogen receptor,hard exclusion: systemic sex-steroid manipulation
MG-132,Preclinical,proteasome inhibitor,PSMB1,other / unclassified,proteasome inhibitor,proteasome,hard exclusion: proteasome inhibitor
MGCD-265,Preclinical,VEGFR inhibitor,AXL|MET,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
micronomicin,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
midecamycin,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
mifepristone,Launched,glucocorticoid receptor antagonist|progesterone receptor antagonist,AR|NR1I2|NR3C1|PGR,GPCR,systemic sex-steroid manipulation,progesterone receptor,hard exclusion: systemic sex-steroid manipulation
miriplatin,Launched,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
misonidazole,Phase 3,,,other / unclassified,,,no annotated mechanism of action
mitomycin-C,Launched,DNA alkylating agent|DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
mitotane,Launched,antineoplastic agent,CYP11A1|CYP11B1|ESR1,other / unclassified,broad cytotoxic chemotherapeutic,antineoplastic,hard exclusion: broad cytotoxic chemotherapeutic
mitoxantrone,Launched,topoisomerase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
mivobulin,Phase 2,microtubule inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,microtubule,hard exclusion: broad cytotoxic chemotherapeutic
MK-0773,Phase 2,androgen receptor modulator,AR,other / unclassified,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
MK-2461,Phase 1/Phase 2,FGFR inhibitor|VEGFR inhibitor,FGFR1|FGFR2|FGFR3|FLT1|FLT3|FLT4|KDR|MERTK|MET|MST1R|NTRK1|NTRK2|PDGFRB,growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
MK-5108,Phase 1,Aurora kinase inhibitor,AURKA|AURKB|AURKC,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
MK-8745,Preclinical,Aurora kinase inhibitor,AURKA,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
MLN8054,Phase 1,Aurora kinase inhibitor,AURKA,kinase,Aurora inhibitor,Aurora,hard exclusion: Aurora inhibitor
MLN9708,Phase 3,proteasome inhibitor,,other / unclassified,proteasome inhibitor,proteasome,hard exclusion: proteasome inhibitor
MM-11253,Preclinical,retinoid receptor antagonist,RARG,GPCR,known plate-fusion or premature-remodeling hazard,RARG,hard exclusion: known plate-fusion or premature-remodeling hazard
modaline,Preclinical,,,other / unclassified,,,no annotated mechanism of action
mometasone,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
mometasone-furoate,Launched,glucocorticoid receptor agonist,NR3C1,GPCR,systemic glucocorticoid manipulation,glucocorticoid receptor,hard exclusion: systemic glucocorticoid manipulation
monoctanoin,Launched,,,other / unclassified,,,no annotated mechanism of action
monomethyl-fumarate,Launched,,,other / unclassified,,,no annotated mechanism of action
monosodium-alpha-luminol,Launched,,,other / unclassified,,,no annotated mechanism of action
monostearin,Preclinical,,,other / unclassified,,,no annotated mechanism of action
morin,Preclinical,cytochrome P450 inhibitor,ADORA2A|ESR2|FASN|MCL1|SLC22A12,transporter,systemic sex-steroid manipulation,ESR2,hard exclusion: systemic sex-steroid manipulation
motesanib,Phase 3,KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FLT1|FLT4|KDR|KIT,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
moxifloxacin,Launched,bacterial DNA gyrase inhibitor,TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,TOP2A,hard exclusion: broad cytotoxic chemotherapeutic
myricetin,Preclinical,androgen receptor agonist|cytochrome P450 inhibitor,PIK3CG,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
N-(2-chlorophenyl)-2-({(2E)-2-[1-(2-pyridinyl)ethylidene]hydrazino}carbothioyl)hydrazinecarbothioamide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
N-acetyl-D-glucosamine,Phase 2/Phase 3,,B4GALT1|B4GALT2|B4GALT3|B4GALT4|NAGK|NAGLU|NAGPA|RENBP,other / unclassified,,,no annotated mechanism of action
N-acetyl-tyrosine,Launched,,,other / unclassified,,,no annotated mechanism of action
N-acetylcarnosine,Launched,,,other / unclassified,,,no annotated mechanism of action
N-acetylmannosamine,Phase 2,,,other / unclassified,,,no annotated mechanism of action
N-cyclohexyl-2-benzothiazolesulfenamide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
N-hydroxynicotinamide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
"N-methyl-(-)ephedrine-[1R,2S]",Preclinical,,,other / unclassified,,,no annotated mechanism of action
N-methylformamide,Phase 2,,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
N-methylpyrrolidone,Phase 1,,,other / unclassified,,,no annotated mechanism of action
N-oxydiethylenebenzothiazole-2-sulfenamide,Preclinical,,,other / unclassified,,,no annotated mechanism of action
N-salicoylaminophenol,Phase 1/Phase 2,ribonucleotide reductase inhibitor,,metabolic,broad cytotoxic chemotherapeutic,ribonucleotide reductase,hard exclusion: broad cytotoxic chemotherapeutic
NADPH,Preclinical,,DRD2|DRD3|DRD4|GHSR|HTR2A|HTR2C,other / unclassified,,,no annotated mechanism of action
naloxone,Launched,opioid receptor antagonist,CREB1|ESR1|OPRD1|OPRK1|OPRM1|TLR4,GPCR,systemic sex-steroid manipulation,ESR1,hard exclusion: systemic sex-steroid manipulation
Nampt-IN-1,Preclinical,,,other / unclassified,,,no annotated mechanism of action
naringenin,Phase 1,aromatase inhibitor|TRPV antagonist,CYP19A1|CYP1B1|ESR2|GLO1|HSD17B1,ion channel,systemic sex-steroid manipulation,aromatase,hard exclusion: systemic sex-steroid manipulation
naringeninic-acid,Phase 1,,HCAR2|PTGR1,other / unclassified,,,no annotated mechanism of action
NDD-094,Preclinical,,,other / unclassified,,,no annotated mechanism of action
nedaplatin,Launched,DNA inhibitor,,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
nelarabine,Launched,DNA synthesis inhibitor|T cell inhibitor,POLA1,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
nemiralisib,Phase 2,,,other / unclassified,,,no annotated mechanism of action
nemorubicin,Phase 2,topoisomerase inhibitor,TOP1|TOP2A,other / unclassified,broad cytotoxic chemotherapeutic,topoisomerase,hard exclusion: broad cytotoxic chemotherapeutic
neo-gilurytmal,Launched,,,other / unclassified,,,no annotated mechanism of action
neohesperidin,Preclinical,,,other / unclassified,,,no annotated mechanism of action
neohesperidin-dihydrochalcone,Preclinical,,,other / unclassified,,,no annotated mechanism of action
neratinib,Launched,EGFR inhibitor,EGFR|ERBB2|KDR,other / unclassified,anti-angiogenic with juvenile growth-plate toxicity,KDR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
neridronic-acid,Launched,bone resorption inhibitor,FDPS,other / unclassified,,,no orderable sample (no SMILES or catalogue number)
nesbuvir,Phase 2,RNA polymerase inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
netilmicin,Launched,protein synthesis inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,protein synthesis inhibitor,hard exclusion: known to suppress chondrocyte proliferation
nicotine,Launched,acetylcholine receptor agonist,CHAT|CHRNA10|CHRNA2|CHRNA3|CHRNA4|CHRNA5|CHRNA6|CHRNA7|CHRNA9|CHRNB2|CHRNB3|CHRNB4|CYP19A1|TBXAS1|TRPA1,GPCR,systemic sex-steroid manipulation,CYP19A1,hard exclusion: systemic sex-steroid manipulation
nicotinyl-alcohol-tartrate,Launched,,,other / unclassified,,,no annotated mechanism of action
niguldipine-(R)-(-),Preclinical,,,other / unclassified,,,no annotated mechanism of action
nilutamide,Launched,androgen receptor antagonist,AR,GPCR,systemic sex-steroid manipulation,androgen receptor,hard exclusion: systemic sex-steroid manipulation
nimustine,Launched,DNA alkylating agent,,other / unclassified,broad cytotoxic chemotherapeutic,DNA alkylat,hard exclusion: broad cytotoxic chemotherapeutic
nintedanib,Launched,FGFR inhibitor|PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,FGFR1|FGFR2|FGFR3|FGFR4|FLT1|FLT4|KDR|PDGFRA|PDGFRB,kinase; growth factor / cytokine,anti-angiogenic with juvenile growth-plate toxicity,VEGFR,hard exclusion: anti-angiogenic with juvenile growth-plate toxicity
nitarsone,Launched,,,other / unclassified,,,no annotated mechanism of action
nitenpyram,Launched,,,other / unclassified,,,no annotated mechanism of action
nitromide,Launched,,,other / unclassified,,,no annotated mechanism of action
nitrosodimethylurea,Preclinical,DNA synthesis inhibitor,,other / unclassified,broad cytotoxic chemotherapeutic,DNA synthesis inhibitor,hard exclusion: broad cytotoxic chemotherapeutic
NMS-1286937,Phase 2,PLK inhibitor,FLT3|PLK1|PLK2|PLK3,other / unclassified,PLK inhibitor,PLK,hard exclusion: PLK inhibitor
NM107,Phase 2,RNA polymerase inhibitor,,other / unclassified,known to suppress chondrocyte proliferation,RNA polymerase inhibitor,hard exclusion: known to suppress chondrocyte proliferation
