accession	n_samples	taxon	n_age_tokens	age_tokens	title	summary
GSE285977	6	Mus musculus	0		CCL7 promotes macrophage polarization and synovitis to exacerbate rheumatoid arthritis II	Macrophage polarization and synovitis play significant roles in rheumatoid arthritis (RA). Chemokines are involved almost throughout the entire pathology of synovitis. However, the interaction between chemokines and macrophage polarization in RA has been seldom reported. This study found that chemokine C-C motif ligand 7 (CCL7) secreted by polarized M1 macrophages enhances M1 polarization, creating a positive feedback loop and revealing the role of CCL7 in the progression of rheumatoid arthritis. In this research, RNA sequencing indicated that M1 polarized macrophages secrete a large amount of
GSE286109	3	Homo sapiens	0		Single cell transcriptome analysis of human primary osteoblasts	This study collected three femoral head samples, optimized the experimental workflow for osteoblast isolation and conducted single-cell transcriptomic sequencing. During the bioinformatic analysis of the single-cell transcriptomic data, we annotated into 10 cell types: OB, NE, Chondrocytes (CHON), Erythrocytes (ER), Macrophages (MAC), B cells (B), T cells (T), plasma cells (PC), Endothelial cells (EC), Smooth muscle cells (SMC). Using CellChat, we identified distinct ligand and receptor expression patterns across various cell types. These analyses allowed us to identify unique signaling mechan
GSE286153	6	Homo sapiens	0		TL1A deficiency attenuates osteoarthritis by regulating oxidative stress-induced senescence in articular chondrocytes [I]	Osteoarthritis (OA) is a prevalent degenerative joint disease characterized by progressive cartilage degradation, chronic inflammation, and chondrocyte senescence. Tumor necrosis factor-like cytokine 1A (TL1A), a member of the TNF superfamily, has recently been implicated in regulating inflammatory processes and tissue remodeling. However, its precise role in OA pathogenesis remains incompletely understood. In this study, we investigated the impact of TL1A deficiency on OA progression and its underlying mechanism with a focus on oxidative stress-induced chondrocyte senescence.
GSE286154	16	Homo sapiens	0		TL1A deficiency attenuates osteoarthritis by regulating oxidative stress-induced senescence in articular chondrocytes [II]	Osteoarthritis (OA) is a prevalent degenerative joint disease characterized by progressive cartilage degradation, chronic inflammation, and chondrocyte senescence. Tumor necrosis factor-like cytokine 1A (TL1A), a member of the TNF superfamily, has recently been implicated in regulating inflammatory processes and tissue remodeling. However, its precise role in OA pathogenesis remains incompletely understood. In this study, we investigated the impact of TL1A deficiency on OA progression and its underlying mechanism with a focus on oxidative stress-induced chondrocyte senescence.
GSE286965	18	Homo sapiens	0		Cholesterol biosynthesis and mutant IDH activity are linked to cellular glycogen through PPP1R3C in growth plate chondrocytes and chondrosarcoma [RNA-seq]	Enchondromas are common bone tumors composed of chondrocytes originating from growth plate cells, which can progress to malignant chondrosarcoma. Mutations in the genes encoding isocitrate dehydrogenase (IDH1 and IDH2) are identified in a large proportion of these tumors. IDH enzymes convert isocitrate to alpha-ketoglutarate (α-KG), an essential component of the citric acid cycle. The mutant IDH enzymes produce 2-hydroxyglutarate (2-HG), which has epigenetic effects important in tumor initiation. Tumor maintenance and growth rely on additional factors as well. Prior work shows that intracellul
GSE287135	9	Mus musculus	0		Acetate derived from metabolism of ethanol affects gene expression in bone and delays chondrogenic differentiation	Alcohol intake is a risk factor for development of osteopenia. Ethanol perturbs gene expression in osteoblasts and osteoclasts and disrupts growth plate morphology. Hepatic metabolism of ethanol to acetate elevates concentrations of acetate in the circulation.  We investigated whether acetate could mediate the toxicity of ethanol on gene expression in bone and on chondrocyte differentiation. When ethanol and acetate were compared by gavage for four consecutive days, none of eleven genes involved in bone homeostasis  showed expression significantly affected by acetate, but the acetate responses
GSE287245	32	Mus musculus	0		Loss of KAT6B causes premature ossification and promotes osteoblast differentiation during development	The MYST family histone acetyltransferase gene, KAT6B (MYST4, MORF, QKF) is mutated in two distinct human congenital disorders characterised by intellectual disability, facial dysmorphogenesis and skeletal abnormalities, Say-Barber-Biesecker-Young-Simpson variant of Ohdo syndrome and Genitopatellar syndrome. Despite its requirement in normal skeletal development, the cellular and transcription effects of KAT6B in skeletogenesis have not been thoroughly studied. In this dataset, we examined the effects of loss of KAT6B on gene expression in proliferating primary mouse embryonic fibroblasts (MEF
GSE288028	14	Mus musculus; Homo sapiens	0		Growth hormone directly stimulates cartilage stem cells in the human pubertal growth plate via both canonical and non-canonical pathways.	Single cell sequencing was used to study human growth plate cartilage subtypes and response to growht hormone stimulation
GSE288042	4	Homo sapiens	0		Modeling human limb skeletal development using human pluripotent stem cell-derived skeletal assembloids [bulkRNA-seq]	Despite recent advances in pluripotent stem cell-based approaches to induce skeletal cells, recapitulating human limb skeletal development in terms of structure and longitudinally oriented growth remains an unresolved challenge. Here, we report a method to differentiate human pluripotent stem cells into region-specific skeletal organoids harboring GDF5+PRG4+ interzone/articular chondrocyte　progenitors (IZ/ACPs) and SP7+ growth plate chondrocytes (GPCs) via PRRX1⁺ limb-bud mesenchymal cells. Comparative analysis demonstrated marked similarities of IZ/ACP and GPC organoids to the human embryonic
GSE288045	3	Homo sapiens	0		Modeling human limb skeletal development using human pluripotent stem cell-derived skeletal assembloids [scRNA-seq]	Despite recent advances in pluripotent stem cell-based approaches to induce skeletal cells, recapitulating human limb skeletal development in terms of structure and longitudinally oriented growth remains an unresolved challenge. Here, we report a method to differentiate human pluripotent stem cells into region-specific skeletal organoids harboring GDF5+PRG4+ interzone/articular chondrocyte　progenitors (IZ/ACPs) and SP7+ growth plate chondrocytes (GPCs) via PRRX1⁺ limb-bud mesenchymal cells. Comparative analysis demonstrated marked similarities of IZ/ACP and GPC organoids to the human embryonic
GSE288160	8	Danio rerio	0		Insulin-like growth factor signalling regulates zebrafish lymphatic vessel development	RNA-Seq analysis reveals that kat6a chondrocytes have reduced expression of the IGF-signalling gene - pappa2
GSE288164	6	Homo sapiens	0		Long-term evaluation of human iPSC-derived cartilage for repairing chondral defects	Previously, induced pluripotent stem cells (iPSCs)-derived cartilage have demonstrated superior capacity to regenerate hyaline cartilage compared to mesenchymal stromal cells (MSCs). Since many patients requiring chondral repair are young, the regenerated cartilage must maintain a hyaline cartilage phenotype and function for decades. However, most animal studies testing iPSC chondrogenesis have only conducted short-term assessments. In this study, we first performed a long-term (8 weeks) in vitro chondrogenesis of human iPSC-derived multipotent cells (iMPCs) and human MSCs, and examined cell p
GSE288320	7	Mus musculus	0		TRPC1 links calcium signaling to cellular senescence in the protection against post-traumatic osteoarthritis	Transient receptor potential channel 1 (TRPC1) is a widely expressed mechanosensitive ion channel located within the endoplasmic reticulum membrane, crucial for refilling depleted internal calcium stores during activation of calcium-dependent signaling pathways. Here, we have demonstrated that TRPC1 activity is protective within cartilage homeostasis in the prevention of cellular senescence associated cartilage breakdown during mechanical and inflammatory challenge. We revealed that TRPC1 loss is associated with early stages of osteoarthritis (OA) and plays a non-redundant role in calcium sign
GSE288529	1	Mus musculus	0		Apolipoprotein E is a marker of all chondrocytes in the growth plate resting zone	The resting zone (RZ) in mammalian growth plates is critical for maintaining and regulating chondrocyte turnover during longitudinal bone growth as a control tower and stem cell reservoir. Although recent lineage tracing studies have identified several markers for stem cells in the RZ, these markers only partially label chondrocytes in the RZ, suggesting that the resting chondrocytes (RCs) are a heterogeneous population with different types of stem cells. Since a comprehensive marker for RCs is still lacking, the RZ is generally determined based on ambiguous histological criteria, such as smal
GSE288785	4	Homo sapiens	0		Exploration of conserved human adipose subpopulations using targeted single cell nuclei RNAseq datasets	Smooth muscle cells and pericytes are mural cells. Pericytes can differentiate into myofibroblasts, chondrocytes, vascular smooth muscle cells, and adipocytes, marking them as a distinct progenitor population. Our goal was to molecularly define the progenitor cell populations in human adipose tissues and test the adipogenic potential of human mural cells. Single-cell transcriptomic profiling of primary human cultured vascular smooth muscle cells (VSMCs) treated with either lipogenic media or VSMC differentiation media was conducted to elucidate signals associated with the lipogenic phenotype o
GSE289409	4	Gallus gallus	0		Ribosome incorporation transdifferentiates chick primary cells and induces their proliferation by secreting growth factors	Previously, we reported that mammalian cells, specifically human dermal fibroblasts (HDFs), could be transdifferentiated by lactic acid bacteria (LAB). Later, we observed that HDFs incorporated LAB-derived ribosomes, forming the ribosome-induced cell clusters (RICs) and transdifferentiating into cells derived from all three germ layers. Based on this insight, we hypothesized that incorporating ribosomes into non-mammalian cells could reveal the universality of this mechanism and open the door to commercial applications. Our current study demonstrates that ribosome incorporation can transdiffer
GSE290411	4	Homo sapiens	0		Single-Cell RNA Sequencing Reveals Cellular Heterogeneity and Reparative Mechanisms in Cystic Change of Osteonecrosis of the Femoral Head	Aims: Steroid-induced osteonecrosis of the femoral head (SIONFH) is a debilitating condition often accompanied by cystic change in the affected bone. Previous studies and our clinical observation have suggested the potential for tissue repair within the cystic change, but the underlying cellular mechanisms remain unclear. This study aims to investigate the heterogeneity of cells in the cystic change region, focusing on chondrocytes and endothelial cells, using single-cell RNA sequencing (scRNA-seq) and subsequent histological validation. Method: Cystic change tissues were obtained from patient
GSE290862	5	Mus musculus	0		Genetic disruption of the baculum compromises the ability of male mice to copulate [scRNA-seq]	The baculum, a bone in the penis of many mammal species, shows an astonishing level of morphological divergence between species. Despite hundreds of years of interest, biologists have been unable to directly test its function. The goal of the current study is to uncover molecular details that could allow selective disruption of the baculum while allowing normal sexual differentiation and skeletal development. We compare patterns of androgen receptor binding and single cell gene expression in the developing penis, forelimbs and hindlimbs of mice. We identified chondrocytes in all three tissue t
GSE290973	3	Homo sapiens	0		Drug repurposing strategy reveals Cobimetinib as a promising disease-modifying drug for Osteoarthritis	Osteoarthritis (OA) is a common disabling disease for which no effective pharmacological therapy exists. The progression of osteoarthritis is characterized by the loss of homeostasis in the cartilage. Since in the early stages of the disease, a phenotypic switch is seen in which articular chondrocytes become hypertrophic and promote degradation of the cartilage extracellular matrix, targeting this phenomenon might be the key to developing a disease-modifying osteoarthritis drug (DMOAD). In this study, the signature reversing principle combined with a drug repurposing strategy was used to accel
GSE291355	24	Homo sapiens	0		Implication of bone marrow adipose tissue in bone homeostasis during osteoarthritis	Objective: To explore the role of bone marrow adipocytes (BMAds) in osteoarthritis (OA). Methods: Male and female C57BL/6 mice (n=4/group) underwent meniscectomy (MNX) or SHAM surgery. OA was determined using OARSI score and the number of perilipin+ adipocytes was quantified. Mesenchymal Stromal Cells (MSCs) from MNX and SHAM mice were differentiated into osteoblasts and adipocytes. Human adipocytes and MSCs (n=8) were enzymatically isolated from epiphyseal and metaphyseal marrow, and from subcutaneous adipose tissue (SCAT) of hip OA patients. Human OA MSCs were differentiated into osteoblasts
GSE291878	20	Homo sapiens	0		High throughput RNA-seq analysis in human primary chondrocytes treated with cyproheptadine and IL-1β	Osteoarthritis is the most common joint disease. Controlling the complex pathogenesis is challenging, thus disease-modifying OA drugs (DMOADs) are not available. We identified cyproheptadine as a potential DMOAD candidate and performed bulk RNA-seq to determine its effects on the transcriptome in human primary chondrocytes in the absence or presence of IL-1β.
GSE292453	267	Homo sapiens	0		Single-Cell Transcriptomics of Multi-Site Cell Therapy in Osteoarthritis: Tissue-Specific Traits and Treatment Correlations [Full Trial]	Knee-Osteoarthritis (Knee-OA) is a prevalent joint disorder lacking FDA-approved cell-therapies to halt its progression. This study uses single-cell RNA sequencing to analyze bone marrow aspirate concentrate (BMAC) and stromal vascular fraction (SVF) samples in a clinical trial of autologous cell therapies. Trial site-specific variability was significant in BMAC, necessitating tailored normalization, whereas SVF was less affected, likely due to uniform subcutaneous fat sampling. Variance partitioning and tensor decomposition identified site effects in BMAC but revealed shared pathways across c
GSE292806	15	Mus musculus	0		NOTCH2 disrupts the synovial fibroblast identity and the inflammatory response of epiphyseal chondrocytes	Notch signaling plays a fundamental role in the inflammatory response and has been linked to the pathogenesis of osteoarthritis in murine models of the disease and in humans, but the mechanisms are poorly understood. We examined the effects of NOTCH2 in chondrocytes from Notch2tm1.1Ecan mice harboring a NOTCH2 gain-of-function mutation and from R26-NICD2 mice, a conditional gain-of-NOTCH2 function model, expressing the NOTCH2 intracellular domain (NICD2) from the Rosa26 locus. Bulk RNA-Sequencing (Seq) revealed increased expression of pathways associated with the phagosome, the role of osteocl
GSE292807	4	Mus musculus	0		NOTCH2 disrupts the synovial fibroblast identity and the inflammatory response of epiphyseal chondrocytes [scRNA-Seq]	Notch signaling plays a fundamental role in the inflammatory response and has been linked to the pathogenesis of osteoarthritis in murine models of the disease and in humans, but the mechanisms are poorly understood. We examined the effects of NOTCH2 in chondrocytes from Notch2tm1.1Ecan mice harboring a NOTCH2 gain-of-function mutation and from R26-NICD2 mice, a conditional gain-of-NOTCH2 function model, expressing the NOTCH2 intracellular domain (NICD2) from the Rosa26 locus. Bulk RNA-Sequencing (Seq) revealed increased expression of pathways associated with the phagosome, the role of osteocl
GSE293257	6	Homo sapiens	0		TGF-β1 Inhibits IL-1β-Induced Chemokine Expression in Human Synovial Fibroblasts	Purpose: Fibroblast-like synoviocytes (FLSs) play a crucial role in maintaining joint homeostasis by secreting matrix components and lubricin [1, 2]. However, under inflammatory conditions, FLSs contribute to tissue damage, leading to osteoarthritis (OA) [3]. The specific genes and pathways driving this inflammatory response in FLSs remain poorly understood. This study aims to elucidate the transcriptome-wide responses of FLSs to IL-1β, a master proinflammatory cytokine, and to investigate the modulatory effects of TGF-β1 on the expression of chemokine transcripts in a model of inflammatory ar
GSE293777	84	Homo sapiens	0		A high-risk osteoarthritis mutation in COL6A3 alters the mechanobiologic response of chondrocytes derived from human induced pluripotent stem cells	Osteoarthritis (OA) is a complex disease arising from a combination of genetic, biological, and mechanical risk factors that act, in part, to alter chondrocyte homeostasis. Our recent exome sequencing studies identified a causal OA variant in COL6A3, a monomeric unit of collagen type VI that serves as a distinguishing component of the pericellular matrix (PCM), a key transducer of mechanical and biochemical signals for the chondrocyte. To study the effect of this mutation, human induced pluripotent stem cell (hiPSC)-derived chondrocytes, genetically edited to harbor the COL6A3 mutation, were u
GSE294777	36	Mus musculus	0		Early Intervention of the PKC-Hippo Signaling Alleviates Post-Traumatic Osteoarthritis	Post-traumatic osteoarthritis (PTOA) is a progressive joint disease triggered by mechanical injury and characterized by inflammation and cartilage degradation. The Hippo signaling pathway and its upstream regulator PKCζ have emerged as key modulators of mechano-inflammatory responses in chondrocytes. This study aimed to investigate the dynamic regulation of the PKC-Hippo signaling axis following joint injury and to evaluate the therapeutic potential of targeting this pathway in early PTOA.
GSE295650	6	Mus musculus	0		Merlin Controls Limb Development and Thumb Formation by Regulating Primary Cilia-Hedgehog Signaling	Hedgehog (HH) signaling, transduced at the primary cilium, plays a crucial role in limb longitudinal growth and digit formation, yet its involvement in thumb development has been underestimated. This study identifies Merlin (Nf2) as a novel regulator of limb development, modulating the ciliary trafficking of the HH receptor, Smoothened. Merlin is predominantly expressed in limb buds and growth plates. Conditional knockout of Merlin in limb mesenchyme in mice results in dwarfism, brachydactyly, and thumb hypoplasia, with transcriptomic profiling and molecular analyses revealing disrupted HH sig
GSE296290	6	Bos taurus	0		Leveraging single cell multiomic analyses to identify gene regulatory networks that drive human articular cartilage cell fate	Cartilage plays a crucial role in skeletal development and function, and abnormal development contributes to genetic and age-related skeletal disease. Compromises to the integrity of joint-lining articular cartilage in particular lead to debilitating chronic degenerative diseases including osteoarthritis.  To better understand how human articular cartilage develops in vivo, we jointly profiled the transcriptome and open chromatin regions in individual nuclei recovered from distal femurs at 2 fetal timepoints. We used these multiomic data to predict transcription factor-based regulatory network
GSE296343	6	Mus musculus	0		Transcriptomic Profiling of Murine Chondrocytes Following APOE Knockout: Insights into Gene Expression Alterations	We have previously demonstrated that cold stress significantly reduces APOE expression in chondrocytes, which correlates with intracellular lipid accumulation and elevated reactive oxygen species (ROS) levels. The objective of this study was to elucidate the downstream regulatory mechanisms of APOE in chondrocyte homeostasis. To achieve this, we compared genome-wide transcriptional profiles of wild-type (WT) and APOE-knockout (Apoe-KO) murine chondrocytes through RNA sequencing (RNA-seq).
GSE296344	12	Homo sapiens	0		Cold exposure promotes the progression of osteoarthritis through downregulating APOE in cartilage	Osteoarthritis (OA) is a degenerative joint disease with limited effective therapies. Cold weathers have been shown to affect joint pain in OA patients. However, the impact of cold climate on OA progression is debated, with the underlying mechanisms not fully understood. To investigate the mechanisms by which low temperatures exacerbate OA, RNA sequencing on human chondrocytes cultured at 33 °C and 37 °C was performed. The gene expression in non-OA region chondrocytes and OA region chondrocytes at 33 °C was compared to that at 37 °C.  The Apoe gene was identified as a temperature-relevant gene
GSE296388	32	Homo sapiens	0		In-vitro cellular tropism and immunomodulatory response to rVSVΔG-ZEBOV-GP in human cells derived from tissues associated with adverse events	The recombinant vesicular stomatitis virus–vectored Zaire Ebola virus glycoprotein (rVSVΔG-ZEBOV-GP) vaccine, while effective and well-tolerated, exhibits notable reactogenicity, manifesting in expected adverse events (AEs) such as fever, headache, and pain, along with rare, unexpected AEs like skin lesions, cutaneous vasculitis, and transient arthritis. The presence or absence of AEs following rVSVΔG-ZEBOV-GP vaccination is associated with a specific innate plasma signature. This study aims to elucidate in-vitro the tropism of the vaccine for different cell types derived from tissues previous
GSE298569	6	Rattus norvegicus	0		Study of Retinoic Acid-Induced Osteoarthritis: Integrating RNA-sequencing, Network Pharmacology, Molecular Docking, and Experimental Validation	Osteoarthritis (OA) is a debilitating joint disorder characterized by cartilage degradation and chondrocyte homeostasis disruption. Although retinoic acid (RA) has been applied in the model preparation of OA, its target of action and signaling pathway are not clear. Leveraging a translational framework that integrates RNA-sequencing transcriptomics, network pharmacology prediction, computational ligand-receptor molecular docking, and biological experimental validation, this study systematically deciphers RA's disease-modifying targets and associated signaling circuitry in OA pathogenesis. RNA-
GSE298720	35	Mus musculus	0		Global gene expression profiles were compared among IL1B-treated, Ad-OSCAR-treated, and control mice, with or without subsequent treatment with OSCAR inhibitors (Brivudine or Adefovir).	To investigate the effects of OSCAR and its inhibitors (Brivudine or Adefovir) on articular chondrocytes, we generated IL1B-stimulated or OSCAR-overexpressing chondrocytes using adenoviral transduction, followed by inhibitor treatment.
GSE298748	6	Mus musculus	0		GNAS/PKA pathway promotes aberrant osteochondral differentiation of Gli1+ tendon  sheath progenitors	We have employed a single cell sequencing approach using 10x Genomics scRNAseq to study the identity and fate determination of Gli1+ tendon sheath progenitors in heterotopic ossification(HO) formation following tenotomy. Gli1 is a signature gene for several tissue-specific Mesenchymal stem cells (MSCs). Aberrant osteochondral differentiation of MSCs in soft tissues leads to incorrect tissue regeneration into HO. This study demonstrated a subpopulation of Gli1+ tendon sheath cells that function as tendon stem/progenitors and can initially differentiate into normal or osteochondral tendon-lineag
GSE299515	16	Jaculus jaculus; Mus musculus	0		Cellular and genetic mechanisms that shape the development and evolution of tail vertebral proportion in mice and jerboas	Limbs and vertebrae elongate by endochondral ossification, but local growth control is highly modular such that not all bones are the same length. Compared to limbs, which have a different evolutionary and developmental origin, far less is known about how individual vertebrae establish proportion. Using the jerboa and mouse tail skeleton, we find that cell number is a common driver of limb and vertebral proportion in both species. However, chondrocyte hypertrophy, which is a major driver proportion in all mammal limbs, is limited to the extreme disproportionate growth of jerboa mid-tail verteb
GSE300617	18	Mus musculus	0		Simulated microgravity models sex differences in knee osteoarthritis through a CD36-regulated mechano-metabolic circuit	Leveraging the unique conditions of space microgravity, our research offers groundbreaking insights into osteoarthritis (OA), a degenerative joint disease impacting over three million Canadians and predominantly affecting load-bearing joints such as the knee. With knee OA (KOA) known for its higher incidence and severity among females—a phenomenon not fully explained by existing risk factors—the application of simulated microgravity (SMG) presents a novel approach to understanding the disease's progression and the biological sex differences in response to it. By employing rotating wall vessel 
GSE301460	9	Rattus norvegicus	0		Shengyu decoction ameliorates knee osteoarthritis by inhibiting endoplasmic reticulum stress via Piezo1 channels	Background: Shengyu decoction (SYD) is a classic and excellent prescription of traditional Chinese Medicine (TCM). The innovative use of SYD by Chinese medical master Prof. Qi Shi in the treatment of knee osteoarthritis (KOA) has achieved considerable clinical outcomes. However, the current weakness is the lack of study on the active ingredients and mechanisms of SYD. Purpose: To evaluate the role of SYD in reducing KOA cartilage damage as well as to explore the active ingredients and mechanisms of SYD. Methods: The KOA rat model and chondrocyte model were established. This study employed vari
GSE302248	16	Homo sapiens	0		BCAT1 as a critical regulator of human chondrosarcoma progression and differentiation through enzymatic and non-enzymatic mechanisms	Human chondrosarcoma is a malignant bone tumor with a poor prognosis due to its resistance to conventional therapies. In this study, we investigated the role of Branched-Chain Amino Acid Transaminase 1 (BCAT1) in chondrosarcoma pathogenesis. BCAT1 depletion impairs proliferation and tumorigenicity both in vitro and in vivo in a xenograft model, underscoring its oncogenic role. Transcriptome analyses revealed that BCAT1 suppresses the chondrocyte differentiation pathway by inhibiting the expression of SOX9, a master regulator of normal chondrogenesis, through epigenetic regulation. This process
GSE302312	12	Homo sapiens	0		Synchronised regeneration of osteochondral defects via spatially patterned implants of stable and hypertrophic cartilage organoids	Repairing deep osteochondral defects remains clinically challenging due to the intrinsic inability of articular cartilage to self-repair and the need for integrated yet distinct regeneration of articular cartilage and subchondral bone. Here, we present a scaffold-free, modular strategy that spatially bioassembles iPSC-derived chondrocytes (iChon) organoids with human periosteum-derived cell (hPDC) organoids to engineer zonated osteochondral assembloids. The resulting iChon+hPDC assembloids exhibit intrinsic spatial organization, forming chondral- and osteo-like zones with an intermediate inter
GSE302635	4	Mus musculus	0		Tiki2 maintains articular cartilage homeostasis and protects against osteoarthritis by inhibiting Wnt/β-catenin signaling	Osteoarthritis (OA) is a serious degenerative joint disease with high morbidity and is currently incurable because of its poorly defined underlying molecular basis. Here, we demonstrated that Tiki2, a membrane-tethered proteolytic Wnt inhibitor, is highly expressed in the articular chondrocytes of hyaline cartilage and that its expression negatively correlates with osteoarthritis. Tiki2 haploinsufficiency in mice causes spontaneous articular cartilage degeneration. Tiki2 deletion in chondrocytes accelerates instability-induced knee joint osteoarthritis progression in mice. Mechanistically, Tik
GSE302739	6	Mus musculus	0		USP8-mediated mitochondrial regulation in osteoclasts is essential for skeletal development	Aberrant protein regulatory pathways disrupt bone homeostasis and contribute to skeletal diseases. Many of cysteine protease family of deubiquitinating enzymes (DUBs) are critical for regulation of bone-resorbing osteoclasts and bone-forming osteoblasts. Here, we demonstrate that the DUB ubiquitin-specific protease 8 (USP8) is highly expressed in osteoclasts and its deletion impairs osteoclast development and bone resorption activity. Deletion of USP8 in osteoclasts (Usp8Ctsk) results in low bone mass due to defective endochondral ossification and short stature resulting from abnormal growth p
GSE302827	6	Rattus norvegicus	0		Endothelial dysfunction contributes to chondrocyte senescence associated with Insulin-like growth factor-binding protein-6 in a spontaneously hypertensive rat model	Given an epidemiological association between hypertension and osteoarthritis (OA), we aim to elucidate how vascular pathology triggers avascular articular cartilage loss by comparing vascular and joint phenotype between spontaneously hypertensive rats (SHR) and normotensive Wistar Kyoto (WKY) rats. Endothelial molecular changes were delineated via bulk RNAseq. Transcriptomic analyses of rat endothelial cells revealed upregulated insulin-like growth factor-binding proteins (IGFBPs). Among them, IGFBP6 was identified to induce chondrocyte senescence in vitro, highlighting a potential therapeutic
GSE303194	15	Mus musculus	0		Nano MiRNA-Functionating Tetrahedral Framework Nucleic Acid for Cartilage-targeted Ferritinophagy Modulation to Attenuate Temporomandibular Joint Osteoarthritis	Background and objectives: Current clinical interventions lack effective strategies to arrest temporomandibular joint osteoarthritis (TMJOA) progression. Emerging evidence highlights the therapeutic potential of microRNAs (miRNAs) in osteoarthritis (OA) management, though critical challenges persist regarding delivery efficiency, including unsatisfactory cellular uptake, immunogenicity, and structural instability of miRNA-based therapeutics. Methods and results: Considering the powerful editability of tetrahedral framework nucleic acids (tFNAs) for gene delivery, we engineered a novel nanoscal
GSE303426	12	Rattus norvegicus	0		A multi-omics analysis of chondrocyte allometry	Transcriptomic analysis on SHR chondrocytes supported enhanced glycolysis and aberrant mTOR signalling. The insulin-like growth factor (IGF) family is linked with chondrocyte development and homeostasis. We observed that SHR chondrocytes expressed a lower level of IGF1 at neonatal age. During chondrocyte development, we identified IGF2 as one of the most significantly downregulated genes in WKY, while genes involved in rheumatoid arthritis and glycolysis were prominently enriched in SHR.
GSE304437	6	Homo sapiens	0		Molecular Consequences of CCN6 Variants Encoding WISP3 in Progressive Pseudorheumatoid Dysplasia	Progressive pseudorheumatoid dysplasia (PPD) is a rare autosomal recessive cartilage disorder caused by biallelic variants in CCN6, encoding the matricellular protein WISP3. To investigate how disease-associated CCN6 variants impact chondrocytes, we overexpressed two clinically relevant variants—p.Cys52* and p.Cys114Trp—both located in the IGFBP domain, and assessed their effects on redox balance, ER stress, ECM remodeling, gene expression, and protein–protein interactions. The p.Cys52* variant led to rapid degradation of WISP3, consistent with complete loss-of-function. In contrast, p.Cys114T
GSE304724	9	Rattus norvegicus	0		Sequencing of Rattus norvegicus synovial fibroblasts	Knee osteoarthritis (KOA), as a degenerative multifactorial disease, affects the quality of life and mental health of patients, and also brings a huge socioeconomic burden. Treating synovitis have shown promise as anti-inflammatory therapeutics in mitigating OA symptoms and disease progression. Here, by analysing synovial single-cell sequencing (scRNA-seq) data from KOA, we found that synovial fibroblasts (FLS) in OA synovium showed a distinct pro-inflammatory phenotype. We collected synovial tissue from patients with clinical OA as well as from healthy donors, and histological examination was
GSE304832	9	Rattus norvegicus	0		Sequencing of Rattus norvegicus chondrocytes under dermal fibroblast co-culture	Knee osteoarthritis (KOA), as a degenerative multifactorial disease, affects the quality of life and mental health of patients, and also brings a huge socioeconomic burden. Treating synovitis have shown promise as anti-inflammatory therapeutics in mitigating OA symptoms and disease progression. Here, by analysing synovial single-cell sequencing (scRNA-seq) data from KOA, we found that synovial fibroblasts (FLS) in OA synovium showed a distinct pro-inflammatory phenotype. We collected synovial tissue from patients with clinical OA as well as from healthy donors, and histological examination was
GSE304835	6	Homo sapiens	0		Transcriptomic profiling of DHA-treated human chondrocytes	This study aimed to investigate the regulatory effects of docosahexaenoic acid (DHA) on lipid metabolism in human osteoarthritic chondrocytes. All cells were pretreated with 10 ng/mL interleukin-1β (IL-1β) for 24 hours to simulate the inflammatory environment of osteoarthritis. Subsequently, cells were divided into two groups: one treated with 25 μM DHA for 48 hours and the other with PBS as control. Total RNA was extracted and subjected to strand-specific paired-end RNA sequencing to examine transcriptomic changes related to lipid metabolic pathways.
GSE305276	9	Mus musculus	0		Osteocyte-specific deletion of Gasdermin D drives osteoarthritis cartilage degeneration by promoting inflammation and remodeling in subchondral bone	In osteoarthritis, we discovered that the number of osteocytes in the subchondral bone is reduced. By investigating the interaction between chondrocytes and osteocytes, we aim to elucidate the underlying pathological mechanisms.
GSE305415	6	Mus musculus	0		Control of lipid metabolism in chondrocytes is critical for skeletal growth	Chondrodysplasia is a genetic disorder characterized by impaired cartilage development and bone growth. Dysregulation of the endoplasmic reticulum (ER) stress disrupts chondrogenesis, contributing to chondrodysplasia. Here, we demonstrate a critical role for the ER stress regulator PPP1R15B in chondrocyte development. PPP1R15B is a protein phosphatase that constitutively represses eIF2α phosphorylation to attenuate global protein translation in response to stress. Remarkably, deletion of Ppp1r15b in Prx1⁺ skeletal progenitors (Ppp1r15bPrx1) impairs chondrogenesis, resulting in a disorganized g
GSE306471	3	Mus musculus	0		scRNA-seq performed in the knee joint of the DMM-induced OA mouse model versus sham-operated mice	Osteoarthritis (OA) is typically characterized by progressive cartilage breakdown, subchondral bone remodeling, osteophyte formation and low-grade joint inflammation. Accumulative evidence demonstrates that cartilage fibrosis and the resulting degradation of extracellular matrix are implicated in the late-stage pathology of OA. However, the mechanisms underlying this degenerative joint disease remain largely undefined.We isolated articular cartilage from control-sham, control-DMM and cKOAcan(chondrocyte conditional ZEB1 knockout mice)-DMM mice and performed scRNA-seq analysis.
